"","PEAKAREAS_PC1","PEAKAREAS_PC2","PEAKAREAS_PC3","PEAKAREAS_PC4","PEAKAREAS_PC5","PEAKAREAS_PC6","PEAKAREAS_PC7","PEAKAREAS_PC8","PEAKAREAS_PC9","PEAKAREAS_PC10","PeakAreas200_PC1","PeakAreas200_PC2","PeakAreas200_PC3","PeakAreas200_PC4","PeakAreas200_PC5","PeakAreas200_PC6","PeakAreas200_PC7","PeakAreas200_PC8","PeakAreas200_PC9","PeakAreas200_PC10","RelativeRatios_PC1","RelativeRatios_PC2","RelativeRatios_PC3","RelativeRatios_PC4","RelativeRatios_PC5","RelativeRatios_PC6","RelativeRatios_PC7","RelativeRatios_PC8","RelativeRatios_PC9","RelativeRatios_PC10","RelativeRatios200_PC1","RelativeRatios200_PC2","RelativeRatios200_PC3","RelativeRatios200_PC4","RelativeRatios200_PC5","RelativeRatios200_PC6","RelativeRatios200_PC7","RelativeRatios200_PC8","RelativeRatios200_PC9","RelativeRatios200_PC10"
"PPN_002",-6.0701920955074,-1.94649067410776,1.87251175393432,3.22022524682008,0.163614129442996,0.571532706036748,-1.28703769177723,-2.68063835562921,-0.825936034218276,-6.12443314204207,3.71730022584802,1.24437053297677,-0.487801365634197,-0.606819148731376,-1.68610480639951,-2.90518045910863,1.44940420695827,0.0387982308574714,0.665515892586847,1.22521660809435,-6.07019209550741,-1.94649067410777,1.8725117539343,3.22022524682008,0.163614129442973,0.571532706036754,-1.28703769177721,-2.68063835562923,-0.825936034218077,-6.12443314204209,3.71730022584802,1.24437053297677,-0.487801365634193,-0.606819148731384,-1.68610480639953,-2.90518045910861,1.44940420695827,0.0387982308574877,0.665515892586836,1.22521660809436
"PPN_003",-7.70605681479244,-3.94163127855587,2.48975628707786,1.68076437817519,1.07775512432124,2.22349500132027,0.240002650388403,1.93011971829843,0.186913056160893,-4.26517974085499,4.93910422787782,2.7018021097037,-1.20754911823214,-1.1116729447522,-1.45158562046997,0.867238584707544,0.331267250469411,-0.596686872067855,1.10517781950476,0.953140206486235,-7.70605681479242,-3.94163127855585,2.48975628707784,1.68076437817518,1.07775512432125,2.22349500132026,0.240002650388429,1.93011971829842,0.186913056160997,-4.26517974085496,4.93910422787782,2.7018021097037,-1.20754911823214,-1.1116729447522,-1.45158562046996,0.867238584707564,0.331267250469409,-0.596686872067828,1.10517781950478,0.953140206486243
"PPN_004",-2.90084776014977,-7.70224558680884,5.76658406184171,-1.76477604050202,-0.936882583525345,2.80225784119762,-3.20351233507555,1.68734474450082,1.33219471404475,-0.870700960347772,0.0815000514441396,2.76199686804242,-0.905163646160585,-1.05276455847348,-1.83824348418679,0.692518431236249,0.566133966399493,-0.206677210357994,1.28937458984217,0.105546559645995,-2.90084776014977,-7.70224558680887,5.76658406184173,-1.76477604050205,-0.936882583525308,2.8022578411976,-3.20351233507559,1.68734474450084,1.33219471404484,-0.870700960347739,0.0815000514441402,2.76199686804242,-0.905163646160582,-1.05276455847348,-1.83824348418678,0.692518431236275,0.566133966399489,-0.206677210357955,1.28937458984218,0.105546559645995
"PPN_005",-2.51353809467853,-5.84333382503186,4.30016462400932,0.410789480985574,-0.165287833952609,0.816666407241042,-1.31277728803285,0.52421227545173,0.843385709248908,-0.708765391171322,0.143257576010993,2.33808936816604,-0.482444625559103,-1.38271522290053,-1.58052051975761,-1.10194201924862,0.100662362414404,0.290451519618872,0.716563255426403,0.627576738086137,-2.51353809467852,-5.84333382503185,4.30016462400929,0.410789480985575,-0.165287833952602,0.816666407241012,-1.31277728803285,0.524212275451737,0.843385709248921,-0.708765391171294,0.14325757601099,2.33808936816605,-0.482444625559103,-1.38271522290053,-1.58052051975761,-1.1019420192486,0.100662362414398,0.290451519618895,0.716563255426401,0.627576738086134
"PPN_006",-0.116435855459445,-6.64796031509614,4.42256864310906,0.965713840782792,-0.522419821416946,1.16281985119374,-1.99043935992649,0.195938371426695,1.80433586171162,0.109855030900219,-1.63310421126793,2.60473618432405,0.070960990732313,-1.06019953280802,-1.3828405866928,-0.736797603775364,1.12131014667604,-0.00704854435247376,-0.00300606889531598,0.140477363286871,-0.116435855459444,-6.64796031509616,4.42256864310906,0.965713840782767,-0.522419821416939,1.16281985119374,-1.9904393599265,0.195938371426713,1.8043358617117,0.109855030900289,-1.63310421126793,2.60473618432405,0.0709609907323128,-1.06019953280802,-1.3828405866928,-0.736797603775345,1.12131014667605,-0.00704854435247294,-0.00300606889531405,0.140477363286876
"PPN_007",0.728637297181135,-6.78850410624066,3.77304610185126,0.16806591911003,0.0816063633629569,0.905465581024556,-1.97926622498097,-0.170969651652377,-0.535806347411669,-0.0991949289762337,-2.8351527397475,2.77043078631871,0.208162629553142,-0.918912687975858,-1.16456190928071,-1.43306281785293,0.111894175135265,0.217520901208159,0.507319383059717,-0.46830563624458,0.728637297181152,-6.78850410624066,3.77304610185123,0.168065919110026,0.0816063633629625,0.905465581024537,-1.97926622498098,-0.170969651652358,-0.53580634741164,-0.0991949289762593,-2.8351527397475,2.77043078631871,0.208162629553141,-0.918912687975865,-1.16456190928072,-1.43306281785291,0.111894175135262,0.217520901208185,0.507319383059718,-0.468305636244585
"PPN_008",0.846693971228453,-5.41371643288346,2.29619988123913,1.20550492157759,-0.7181903055758,-0.283907120586508,-0.345353331476121,-0.607387909013393,-0.274441130668619,-0.533903420488942,-2.74681582690659,2.21479637327043,-0.346384646179152,-0.879692076743537,-1.31122309661952,-1.01610723539031,-1.24170562128484,0.576003741803597,0.494583765310325,-0.109690860898793,0.846693971228453,-5.41371643288346,2.29619988123912,1.20550492157758,-0.718190305575813,-0.283907120586513,-0.345353331476134,-0.607387909013384,-0.274441130668606,-0.53390342048894,-2.7468158269066,2.21479637327043,-0.34638464617915,-0.879692076743543,-1.31122309661953,-1.01610723539028,-1.24170562128484,0.576003741803612,0.494583765310316,-0.109690860898799
"PPN_009",-3.80165346245435,-7.2275808121152,6.8374087363967,0.74846622858391,-0.0633793714714107,-1.74744583830887,-4.2649760753408,-4.54309799811884,-2.91914765172301,1.64769252565797,0.101706508381653,2.13631970676874,-1.70434009834077,0.064577848418128,-2.3168572200593,-2.00736410385509,0.751659450026579,-0.565865726635769,1.13203960808997,-0.515172112697195,-3.80165346245434,-7.22758081211518,6.83740873639665,0.748466228583907,-0.0633793714714142,-1.74744583830891,-4.2649760753408,-4.54309799811877,-2.91914765172307,1.64769252565785,0.101706508381652,2.13631970676874,-1.70434009834077,0.0645778484181258,-2.31685722005932,-2.00736410385506,0.751659450026578,-0.565865726635741,1.13203960808998,-0.515172112697201
"PPN_010",-4.01677291179991,-5.97387431448844,2.5555441393161,3.4557745705828,1.03199623503794,2.59133437187195,-0.71430445971085,1.19049683538977,0.92262235810093,-1.45460219005298,1.04881207346212,2.74539730470531,0.632810167094069,-1.96565780201251,0.470744559109255,-0.606612222969472,0.400242906650057,0.73021527281792,1.05100724626755,-0.0243697988769718,-4.01677291179993,-5.97387431448842,2.55554413931607,3.4557745705828,1.03199623503794,2.59133437187194,-0.714304459710822,1.19049683538979,0.922622358100896,-1.45460219005294,1.04881207346212,2.74539730470531,0.632810167094066,-1.96565780201252,0.470744559109257,-0.606612222969473,0.400242906650055,0.730215272817948,1.05100724626754,-0.0243697988769748
"PPN_011",-6.4612049415116,-5.59811756514288,8.14481138266867,-0.162253226609959,0.263619275691398,1.11547683445573,-3.54194598134345,-5.71919500252915,-2.28594118582807,0.981116991421481,3.38268868243306,1.91087735921516,-2.6055009767389,0.744491544209902,-0.806972686963267,-2.73851454286572,0.752529251505258,0.313161585037559,0.293944923635131,-0.195657662272128,-6.46120494151161,-5.59811756514288,8.14481138266866,-0.162253226609964,0.263619275691418,1.11547683445568,-3.54194598134343,-5.71919500252913,-2.28594118582822,0.981116991421388,3.38268868243306,1.91087735921516,-2.6055009767389,0.744491544209898,-0.806972686963298,-2.73851454286571,0.752529251505252,0.313161585037561,0.293944923635117,-0.19565766227214
