"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"BREED*1","1","HA",1,133,1,0,1,1,0,1,1,0,NA,NA,0
"BREED*2","2","RHA",1,102,2,0,2,2,0,2,2,0,NA,NA,0
"BREED*3","3","UNK",1,51,3,0,3,3,0,3,3,0,NA,NA,0
"FreshMass1","4","HA",2,123,2.0039837398374,0.641815738632507,1.9,1.95818181818182,0.607866,0.74,4.4,3.66,0.792888749735154,0.857200262969882,0.057870576257658
"FreshMass2","5","RHA",2,93,2.03161290322581,0.618631537316141,1.96,2.0304,0.607866,0.58,3.56,2.98,0.048539471887584,-0.439924062806302,0.064149102103366
"FreshMass3","6","UNK",2,48,2.17875,0.759357581229168,2.11,2.12675,0.615279,0.8,4.19,3.39,0.752701981750787,0.478642093661635,0.109603825983461
"DryMass1","7","HA",3,66,0.280909090909091,0.095058318500192,0.27,0.272407407407407,0.07413,0.1,0.66,0.56,1.17786012378411,2.54072917596378,0.011700870154177
"DryMass2","8","RHA",3,53,0.283396226415094,0.075139444630183,0.29,0.285813953488372,0.07413,0.12,0.46,0.34,-0.242006713368881,-0.313072578164708,0.010321196489193
"DryMass3","9","UNK",3,33,0.286969696969697,0.090501548622277,0.27,0.286666666666667,0.07413,0.09,0.49,0.4,0.059506642186567,-0.147580500283033,0.015754297444527
"WaterContent1","10","HA",4,66,5.94969696969697,1.34048208285386,5.55,5.8862962962963,1.312101,3.58,8.78,5.2,0.424938417684157,-0.907136992706378,0.165001938209563
"WaterContent2","11","RHA",4,53,5.89716981132075,1.00971316825524,5.95,5.90372093023256,1.156428,3.55,7.88,4.33,-0.098075043983909,-0.781827125962914,0.138694770217958
"WaterContent3","12","UNK",4,33,6.15393939393939,1.44760780987535,6.06,6.11148148148148,1.527078,3.47,9.53,6.06,0.307007703851803,-0.585262970446579,0.251996174286263
"LeafArea1","13","HA",5,133,65.2653383458647,18.566041154887,63.38,63.8736448598131,15.685908,33.43,140.3,106.87,0.984414547449283,1.82062082795891,1.60987993799976
"LeafArea2","14","RHA",5,102,61.9935294117647,17.1734780925751,59.945,61.6898780487805,20.474706,26.42,98.96,72.54,0.135971048582529,-0.713074143473534,1.7004277137727
"LeafArea3","15","UNK",5,51,71.3276470588235,22.9590465471226,65.97,69.6736585365854,22.16487,29.25,135.21,105.96,0.686131625743402,0.413313154797277,3.21490956282078
"Perimeter1","16","HA",6,133,43.5515789473684,7.31124526578907,43.42,43.3652336448598,7.739172,27.9,63.01,35.11,0.213469052445082,-0.451411963671882,0.633965365960173
"Perimeter2","17","RHA",6,102,42.8670588235294,7.43158759849666,42,42.9007317073171,6.686526,25.92,63.64,37.72,0.09175568696239,-0.220790071521749,0.735836820106739
"Perimeter3","18","UNK",6,51,44.081568627451,7.41902699079846,43.66,44.1070731707317,5.85627,24.52,62.91,38.39,0.01068142640522,0.213285131193173,1.03887157380813
"AspectRatio1","19","HA",7,133,1.40804511278195,0.149252981527585,1.39,1.39943925233645,0.14826,1.12,2.04,0.92,0.873184644236938,1.77624239707582,0.012941874826377
"AspectRatio2","20","RHA",7,102,1.41774509803922,0.152009033490979,1.4,1.40853658536585,0.133434,1.14,2.14,1,1.18516076310945,3.73292946825406,0.015051137102135
"AspectRatio3","21","UNK",7,51,1.42960784313725,0.156306887683348,1.37,1.41439024390244,0.118608,1.17,1.86,0.69,0.951967238520969,0.472727332921307,0.02188734218194
"Circularity1","22","HA",8,133,0.431954887218045,0.05910261552199,0.43,0.429345794392523,0.059304,0.29,0.61,0.32,0.353004442320972,0.031180299132586,0.005124846714407
"Circularity2","23","RHA",8,102,0.424411764705882,0.056350626682833,0.42,0.426707317073171,0.059304,0.22,0.54,0.32,-0.550451284593167,0.885457452039847,0.00557954345552
"Circularity3","24","UNK",8,51,0.456666666666667,0.066080758671997,0.45,0.456341463414634,0.07413,0.3,0.61,0.31,0.034399011953643,-0.484352916039676,0.009253157030586
"Solidity1","25","HA",9,133,0.840225563909774,0.037648014262366,0.84,0.840654205607477,0.044478,0.74,0.93,0.19,-0.122248817688292,-0.356502441537407,0.003264496849968
"Solidity2","26","RHA",9,102,0.836470588235294,0.038374059380184,0.84,0.837926829268293,0.029652,0.75,0.92,0.17,-0.307907141080365,-0.183988543072873,0.003799598060933
"Solidity3","27","UNK",9,51,0.852745098039216,0.035613392501841,0.85,0.851951219512195,0.029652,0.78,0.94,0.16,0.221694085351087,-0.424875460964154,0.0049868724245
"LMA1","28","HA",10,66,45.9933333333333,9.74383407925764,46.825,45.6542592592593,9.236598,28.39,76.82,48.43,0.41639760459595,0.373161451528923,1.19938306467106
"LMA2","29","RHA",10,53,47.2807547169811,8.38110830036967,45.16,47.0009302325581,9.325554,30.94,64.86,33.92,0.295040213509391,-0.994369521984598,1.15123376265382
"LMA3","30","UNK",10,33,44.4869696969697,11.4963128558814,41.8,43.6325925925926,8.702862,24.74,72.36,47.62,0.639834657971768,0.026117870064325,2.00125119408518
"LaminaThickness1","31","HA",11,133,0.39593984962406,0.056916174326611,0.4,0.395700934579439,0.059304,0.26,0.53,0.27,0.027295892949696,-0.348871380323046,0.004935258218578
"LaminaThickness2","32","RHA",11,102,0.385294117647059,0.057449174822861,0.38,0.384756097560976,0.044478,0.22,0.55,0.33,0.141192023124377,0.390885263433699,0.005688315929689
"LaminaThickness3","33","UNK",11,51,0.402745098039216,0.053817410988361,0.4,0.40390243902439,0.059304,0.28,0.5,0.22,-0.034424243757675,-0.713305446666464,0.007535944878095
"LaminaDensity1","34","HA",12,66,0.114848484848485,0.020698749441409,0.11,0.114074074074074,0.014826,0.07,0.17,0.1,0.282606347043598,-0.229228416720631,0.002547839930151
"LaminaDensity2","35","RHA",12,53,0.125471698113208,0.021264455511835,0.12,0.124418604651163,0.014826,0.08,0.18,0.1,0.471626591679093,-0.13763940103208,0.002920897601167
"LaminaDensity3","36","UNK",12,33,0.113333333333333,0.026770630673682,0.11,0.114444444444444,0.029652,0.06,0.16,0.1,-0.233058967400227,-0.953619483094874,0.00466016863613
"LaminaToughness1","37","HA",13,133,27.4812781954887,4.33823931146452,27.43,27.4975700934579,4.091976,16.23,38.43,22.2,-0.029475738426263,0.124908662710398,0.376173055715233
"LaminaToughness2","38","RHA",13,102,27.6046078431373,3.8449837892688,27.85,27.7875609756098,3.832521,14,36,22,-0.530245187189899,0.647122373700204,0.380710125172965
"LaminaToughness3","39","UNK",13,51,28.5337254901961,5.61869307251582,27.87,28.3736585365854,4.59606,16.43,42.97,26.54,0.257585529370255,0.172031563651173,0.786774400771005
"ChlorophyllContent._SPAD1","40","HA",14,133,40.6064661654135,3.81134534337917,40.63,40.5229906542056,3.602718,31.63,60,28.37,0.822959064997234,3.7114093477728,0.330485554454341
"ChlorophyllContent._SPAD2","41","RHA",14,102,41.5338235294118,4.39581530168973,40.9,41.324756097561,4.647951,32.5,55.3,22.8,0.594165030060773,0.386549094223372,0.435250572034736
"ChlorophyllContent._SPAD3","42","UNK",14,51,40.313137254902,3.69635684976225,39.52,40.0821951219512,3.63237,33.9,50.13,16.23,0.543837906544425,-0.303484508737585,0.517593488018259
"ChlorophyllContent_areabasis1","43","HA",15,133,470.646240601504,74.5158142825005,468.01,467.346542056075,66.731826,314.58,910.84,596.26,1.49569993881653,7.53433324637852,6.4613405451564
"ChlorophyllContent_areabasis2","44","RHA",15,102,489.093333333333,86.8641236124391,472.225,482.918658536585,86.087169,328.86,787.68,458.82,0.886259160016036,1.04578633340266,8.60082985676787
"ChlorophyllContent_areabasis3","45","UNK",15,51,464.616666666667,70.3715158758618,447.3,458.921219512195,63.67767,350.58,666.9,316.32,0.72967082634167,0.057691800810741,9.85398321638301
"ChlorophyllContent_massbasis1","46","HA",16,66,11.025,2.74950303201814,11.27,11.1192592592593,2.639028,4.53,17.33,12.8,-0.283549146453575,-0.390542990767076,0.338440427663308
"ChlorophyllContent_massbasis2","47","RHA",16,53,11.2290566037736,2.78162947827828,10.92,10.9790697674419,1.808772,6.61,19.79,13.18,1.02710353313881,1.53755290584604,0.382086193832602
"ChlorophyllContent_massbasis3","48","UNK",16,33,11.2066666666667,3.01956191634924,11.64,11.1611111111111,3.098634,6.21,16.77,10.56,-0.031028011717266,-1.00698326680126,0.52563826041117
"TrichomeDensity1","49","HA",17,133,469.82045112782,131.024232276836,456,468.337476635514,124.5384,166.67,836,669.33,0.178092337892816,-0.221748164249063,11.3612418056489
"TrichomeDensity2","50","RHA",17,102,497.343235294118,137.086114585692,480.665,496.150487804878,144.301458,176,901.33,725.33,0.189168876759291,-0.08410999382974,13.5735479533242
"TrichomeDensity3","51","UNK",17,51,460.646666666667,125.681283135822,456,465.406097560976,136.3992,142,698.67,556.67,-0.280193991164168,-0.400921909956189,17.5988997710177
"AshContent1","52","HA",18,120,12.2468333333333,3.26528107154506,12.085,12.2319791666667,2.868831,1.7,23.6,21.9,0.06662050960915,0.789153366497904,0.298078016579978
"AshContent2","53","RHA",18,94,12.4868085106383,2.3928972913204,12.85,12.6410526315789,2.246139,5.25,16.8,11.55,-0.755876325809273,0.594731609058295,0.246808510638298
"AshContent3","54","UNK",18,49,13.0216326530612,3.68054363451627,13.3,12.8443902439024,2.37216,6.43,30.8,24.37,1.98333923794659,8.84504241117872,0.525791947788039
"TotalPhenolics1","55","HA",19,131,1.46038167938931,0.547832659149675,1.34,1.42057142857143,0.533736,0.47,2.81,2.34,0.580512853687194,-0.431606896663766,0.047864361667047
"TotalPhenolics2","56","RHA",19,101,1.42544554455446,0.51724563749243,1.34,1.36728395061728,0.385476,0.5,3.06,2.56,1.09499111263703,1.19936229671049,0.051467864577884
"TotalPhenolics3","57","UNK",19,51,1.23274509803922,0.386926754987931,1.16,1.19073170731707,0.266868,0.62,2.3,1.68,0.948831418957087,0.638173933735114,0.054180582898718
"TotalFlavonoids1","58","HA",20,131,1.80885496183206,0.558485095485132,1.82,1.8287619047619,0.44478,0.6,4.25,3.65,0.151983953043274,2.09484793299446,0.048795069351009
"TotalFlavonoids2","59","RHA",20,101,1.84861386138614,0.489244375957395,1.87,1.87703703703704,0.340998,0.63,3.14,2.51,-0.377957023169651,0.578589652887899,0.048681634917869
"TotalFlavonoids3","60","UNK",20,51,1.66470588235294,0.493109938821665,1.65,1.66731707317073,0.504084,0.55,2.66,2.11,-0.160613339730922,-0.577774446720508,0.069049202656825
"FLAVPHEN_PC11","61","HA",21,133,0.075679710906251,1.32354782449411,0.130971343572119,0.074971970202139,1.14409544526965,-2.80981379945557,4.49610513895049,7.30591893840607,0.106789190395174,0.224550236040953,0.114766151376081
"FLAVPHEN_PC12","62","RHA",21,102,0.107642588156819,1.22058204230595,0.058608712048833,0.094617250030981,0.9353651859076,-2.70199469607811,4.07224024777879,6.77423494385691,0.352637578977377,1.23429525083408,0.120855631019068
"FLAVPHEN_PC13","63","UNK",21,51,-0.412645991029938,1.06873254535752,-0.462973992763224,-0.427259649595668,1.0276090933084,-2.75474274053475,2.23878565416376,4.99352839469851,0.201907848011545,-0.054281019194117,0.149652489841669
"FLAVPHEN_PC21","64","HA",22,133,-0.047462416491299,0.713108910881417,-0.042203177433246,-0.05438327862856,0.769181153145864,-1.83145070877741,2.13634936236144,3.96780007113885,0.139564042545736,-0.143906802850444,0.061834384598176
"FLAVPHEN_PC22","65","RHA",22,102,0.034362614804767,0.611080553170715,-0.004566358235732,0.029592109289987,0.571063693707793,-1.49035833559154,1.70405410874035,3.19441244433189,0.101075194284455,-0.120377572128009,0.060505990828281
"FLAVPHEN_PC23","66","UNK",22,51,0.055049307514836,0.550290087589221,0.144184893947213,0.047101427936191,0.669492270860928,-1.13844849072316,1.29693932273103,2.43538781345419,0.065891376989016,-0.641076296258154,0.077056025008922
"LES_PC11","67","HA",23,133,-0.015278488816364,2.2607427435824,0.062692715928198,-0.017072420324522,2.19494296503658,-5.16306141232213,5.47327724830056,10.6363386606227,0.012860233816973,-0.369057850711244,0.196031257148961
"LES_PC12","68","RHA",23,102,0.174623574211434,1.85476621251074,0.209542183116734,0.228144719822844,1.57828964170746,-7.06226712926689,3.78358472491522,10.8458518541821,-0.570364547278957,1.18786197120783,0.183649220811366
"LES_PC13","69","UNK",23,51,-0.30940324621549,2.7527974943311,-0.498371514534049,-0.190152119536478,2.7382519203785,-10.7763699866973,4.58401562203146,15.3603856087287,-0.888739985388138,2.3133115164508,0.385468750667405
"LES_PC21","70","HA",24,133,0.028122424000415,1.62860374277179,0.22489679531062,0.128227176939243,1.55806300573247,-5.37720662473023,3.36561442677234,8.74282105150256,-0.688218727502967,0.72647573391187,0.141217854176172
