"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"USE*1","1","NonOil",1,83,1,0,1,1,0,1,1,0,NA,NA,0
"USE*2","2","Oil",1,134,2,0,2,2,0,2,2,0,NA,NA,0
"USE*3","3","UNK",1,69,3,0,3,3,0,3,3,0,NA,NA,0
"FreshMass1","4","NonOil",2,83,2.00867469879518,0.622341704987442,1.9,1.99597014925373,0.652344,0.72,3.89,3.17,0.334804520815869,-0.112770544014682,0.068310876708669
"FreshMass2","5","Oil",2,134,1.97246268656716,0.612590256130074,1.89,1.94518518518519,0.59304,0.58,3.79,3.21,0.405156253519746,-0.036249849972668,0.052919738008957
"FreshMass3","6","UNK",2,47,2.31872340425532,0.775181933824112,2.23,2.24923076923077,0.652344,0.8,4.4,3.6,0.803499013243356,0.386724639199322,0.113071906186576
"DryMass1","7","NonOil",3,55,0.277272727272727,0.083143217479206,0.27,0.274,0.07413,0.12,0.5,0.38,0.388667692608347,0.1255464057277,0.011211029157846
"DryMass2","8","Oil",3,69,0.280724637681159,0.081535247530993,0.28,0.28,0.07413,0.1,0.49,0.39,0.122408618013908,-0.209721025284966,0.009815690330578
"DryMass3","9","UNK",3,28,0.300357142857143,0.106787505957258,0.27,0.2925,0.07413,0.09,0.66,0.57,1.14505154952758,2.61670909478403,0.020180941706552
"WaterContent1","10","NonOil",4,55,6.11872727272727,1.40823905607579,6.14,6.09288888888889,1.645686,3.47,8.79,5.32,0.135464751616415,-0.930545602544313,0.189886915584333
"WaterContent2","11","Oil",4,69,5.8036231884058,1.07633087386854,5.63,5.7580701754386,1.022994,3.58,8.32,4.74,0.427366785060508,-0.480797521925342,0.129575010453216
"WaterContent3","12","UNK",4,28,6.11892857142857,1.3427703239412,6.025,6.075,1.452948,4.02,9.53,5.51,0.349373997609046,-0.411398797217352,0.253759738930432
"LeafArea1","13","NonOil",5,83,66.8160240963855,18.1583241638219,62.99,65.5331343283582,15.760038,34.39,140.3,105.91,1.11883455410787,2.55788786957233,1.99313501449482
"LeafArea2","14","Oil",5,134,63.7834328358209,16.2766120370681,62.39,63.2006481481481,17.0499,32.37,108.59,76.22,0.312724881359371,-0.2630158726026,1.40608512142606
"LeafArea3","15","UNK",5,69,65.9221739130435,24.7972663264205,61.47,64.0801754385965,22.772736,26.42,135.21,108.79,0.701687143786916,0.097717846588207,2.98524006090115
"Perimeter1","16","NonOil",6,83,43.2185542168675,6.57520548367216,43.17,43.1719402985075,6.22692,27.9,63.01,35.11,0.185769916735983,0.10492067511371,0.721722564195429
"Perimeter2","17","Oil",6,134,43.7710447761194,7.37097388701743,43.475,43.6848148148148,7.183197,27.55,63.64,36.09,0.133187711474948,-0.381895873558316,0.636755160677906
"Perimeter3","18","UNK",6,69,42.9057971014493,8.25391108822626,42.6,42.8575438596491,8.258082,24.52,62.91,38.39,0.110938241732901,-0.447817844410412,0.993654127650208
"AspectRatio1","19","NonOil",7,83,1.37566265060241,0.143316065267019,1.36,1.36746268656716,0.133434,1.13,1.89,0.76,0.732451869392434,0.732150939777571,0.015730981848668
"AspectRatio2","20","Oil",7,134,1.42791044776119,0.131795436312798,1.415,1.41953703703704,0.111195,1.15,2.04,0.89,1.05309630224704,2.85017648532309,0.011385391606634
"AspectRatio3","21","UNK",7,69,1.43869565217391,0.185106591259947,1.39,1.42350877192982,0.163086,1.12,2.14,1.02,1.03543287500336,1.56986803151071,0.022284214900628
"Circularity1","22","NonOil",8,83,0.44855421686747,0.061765341337499,0.45,0.447014925373134,0.07413,0.34,0.61,0.27,0.260212041459379,-0.675109030892263,0.006779626984921
"Circularity2","23","Oil",8,134,0.421791044776119,0.055016754061573,0.42,0.422314814814815,0.044478,0.22,0.57,0.35,-0.255340705836779,1.09694443024892,0.004752723671177
"Circularity3","24","UNK",8,69,0.438840579710145,0.064364226268855,0.44,0.438771929824561,0.07413,0.29,0.61,0.32,0.056089248715935,-0.168758388629001,0.007748542287582
"Solidity1","25","NonOil",9,83,0.851686746987952,0.037508349545539,0.85,0.853134328358209,0.029652,0.74,0.93,0.19,-0.295936871823669,-0.037439944702879,0.004117076231301
"Solidity2","26","Oil",9,134,0.832014925373134,0.036207004073513,0.84,0.832314814814815,0.029652,0.75,0.92,0.17,-0.064467759629872,-0.187783974487691,0.0031278087604
"Solidity3","27","UNK",9,69,0.846086956521739,0.037699172689641,0.85,0.847368421052632,0.029652,0.75,0.94,0.19,-0.286818326497936,0.007471878099382,0.00453844706487
"LMA1","28","NonOil",10,55,44.7701818181818,9.637691342369,43.48,44.3817777777778,9.41451,28.37,69.75,41.38,0.387217332240826,-0.396664280025335,1.29954603549767
"LMA2","29","Oil",10,69,47.5665217391304,8.95609861656667,47.32,47.430350877193,8.910426,27.45,76.82,49.37,0.328630735847868,0.472748872997371,1.07818757227566
"LMA3","30","UNK",10,28,45.1807142857143,11.3433971423978,42.8,44.635,9.733269,24.74,72.36,47.62,0.668762791651958,-0.009878792463077,2.14370056153038
"LaminaThickness1","31","NonOil",11,83,0.383132530120482,0.060986358147587,0.38,0.384328358208955,0.059304,0.22,0.49,0.27,-0.25074276837887,-0.592735335980523,0.006694122471536
"LaminaThickness2","32","Oil",11,134,0.386641791044776,0.055764596927192,0.38,0.383796296296296,0.044478,0.26,0.55,0.29,0.457237034580029,0.122039431170068,0.004817327455067
"LaminaThickness3","33","UNK",11,69,0.418695652173913,0.045403842914523,0.41,0.416491228070175,0.044478,0.34,0.53,0.19,0.399430501268392,-0.518809693968374,0.005465980362637
"LaminaDensity1","34","NonOil",12,55,0.117818181818182,0.024921425342011,0.11,0.117111111111111,0.029652,0.06,0.18,0.12,0.265587415746529,-0.321114363510946,0.003360404307594
"LaminaDensity2","35","Oil",12,69,0.121884057971014,0.01934785003399,0.12,0.12140350877193,0.014826,0.08,0.18,0.1,0.337497170055569,-0.092148533854024,0.002329207431717
"LaminaDensity3","36","UNK",12,28,0.11,0.024944382578493,0.11,0.110416666666667,0.029652,0.06,0.15,0.09,-0.096643574084401,-0.952122813411081,0.00471404520791
"LaminaToughness1","37","NonOil",13,83,26.6418072289157,4.75590112119473,26.33,26.5586567164179,4.29954,14,40.43,26.43,0.230881670686802,0.383052333815097,0.522027967152078
"LaminaToughness2","38","Oil",13,134,27.7832089552239,3.91504916009164,27.685,27.9161111111111,3.743565,16.43,36.8,20.37,-0.353854496003904,0.280186852882296,0.338208735400199
"LaminaToughness3","39","UNK",13,69,28.8649275362319,4.72459136832096,28.57,28.7438596491228,3.662022,16.23,42.97,26.74,0.233902343375727,0.957633676544755,0.568773962356981
"ChlorophyllContent._SPAD1","40","NonOil",14,83,39.7567469879518,3.90850327177145,39.73,39.5717910447761,3.75097799999999,31.63,52.1,20.47,0.479772175840635,0.103725960032738,0.429013969293277
"ChlorophyllContent._SPAD2","41","Oil",14,134,41.7049253731343,4.238722098933,41.435,41.5,3.943716,33.63,60,26.37,0.932401557435579,2.25786104612524,0.366169818608217
"ChlorophyllContent._SPAD3","42","UNK",14,69,40.6494202898551,3.38768395812988,40.2,40.5919298245614,3.068982,32.83,50.13,17.3,0.26679112138199,-0.074870989989512,0.40782922328444
"ChlorophyllContent_areabasis1","43","NonOil",15,83,454.786265060241,73.7647147736383,450.4,449.74,72.143316,314.58,712.32,397.74,0.728722394775938,0.626478726534804,8.09672933047898
"ChlorophyllContent_areabasis2","44","Oil",15,134,492.314179104478,85.358633695213,482.755,486.125,74.456172,347.48,910.84,563.36,1.40324101313308,4.24313413335259,7.37386285000597
"ChlorophyllContent_areabasis3","45","UNK",15,69,470.457391304348,64.1888018145591,458.93,468.181403508772,57.628662,335.21,666.9,331.69,0.492828671027727,0.186645873515859,7.72742366499907
"ChlorophyllContent_massbasis1","46","NonOil",16,55,10.9985454545455,2.92052025945012,11.26,10.9442222222222,2.268378,5.32,19.15,13.83,0.138170523741217,-0.121200050711842,0.393802871448476
"ChlorophyllContent_massbasis2","47","Oil",16,69,11.1717391304348,2.78090598679942,11.15,11.0515789473684,2.283204,4.53,19.79,15.26,0.499589333239724,0.803336805514987,0.334781739572172
"ChlorophyllContent_massbasis3","48","UNK",16,28,11.3157142857143,2.71103974665376,11.915,11.385,2.676093,6.21,16.77,10.56,-0.24942464519449,-0.907914146746098,0.512338354575529
"TrichomeDensity1","49","NonOil",17,83,457.253012048193,117.109001327978,450.67,459.114179104478,114.649458,142,698.67,556.67,-0.171032791839492,-0.296508653478411,12.8543828688972
"TrichomeDensity2","50","Oil",17,134,482.565746268657,133.877900720465,472.67,482.214166666667,133.434,180,838,658,0.092230057525572,-0.419570704665334,11.5652891315525
"TrichomeDensity3","51","UNK",17,69,494.091304347826,146.1052623656,470.67,492.309649122807,144.316284,166.67,901.33,734.66,0.229055618109509,-0.031629066762434,17.5890066502028
"AshContent1","52","NonOil",18,80,12.801,3.70416002880374,12.45,12.62953125,2.765049,5.8,30.8,25,1.48387067956839,5.83520956955341,0.414137681197137
"AshContent2","53","Oil",18,127,11.971811023622,2.79115849456499,12.43,12.0906796116505,2.134944,1.7,18.7,17,-0.564564845800758,0.714980720544522,0.247675265896432
"AshContent3","54","UNK",18,56,13.1596428571429,2.48620262780279,13.515,13.2765217391304,2.172009,6.83,18.77,11.94,-0.443744082152608,-0.04722150820213,0.332232800976254
"TotalPhenolics1","55","NonOil",19,83,1.35614457831325,0.485576929488988,1.22,1.3155223880597,0.415128,0.47,2.73,2.26,0.776419196363744,-0.043019100279738,0.053298992333425
"TotalPhenolics2","56","Oil",19,131,1.53862595419847,0.575345733328804,1.43,1.49733333333333,0.533736,0.5,3.06,2.56,0.600612969758741,-0.184341203788636,0.0502681901192
"TotalPhenolics3","57","UNK",19,69,1.21782608695652,0.340651925013415,1.16,1.18982456140351,0.252042,0.62,2.3,1.68,0.890474872256126,0.867981910515903,0.041009672598049
"TotalFlavonoids1","58","NonOil",20,83,1.65951807228916,0.488067127566355,1.68,1.67611940298507,0.400302,0.6,2.65,2.05,-0.329302841604408,-0.334937008713635,0.053572327082615
"TotalFlavonoids2","59","Oil",20,131,1.85519083969466,0.533512816002128,1.86,1.87304761904762,0.385476,0.6,4.25,3.65,0.246470611013824,2.78172552631034,0.046613231162171
"TotalFlavonoids3","60","UNK",20,69,1.85217391304348,0.529474960706685,1.87,1.88157894736842,0.459606,0.55,2.99,2.44,-0.475587320363674,-0.17165238477283,0.063741294832228
"FLAVPHEN_PC11","61","NonOil",21,83,-0.251472125204428,1.16499123692925,-0.379537756359059,-0.253384837771595,1.16791063329797,-2.6329622878884,2.90596694867165,5.53892923656005,0.09251342836896,-0.247778838780663,0.127874401016013
"FLAVPHEN_PC12","62","Oil",21,134,0.248214471174749,1.36849479772267,0.269423329028915,0.231487923425973,1.08034086330057,-2.80981379945557,4.49610513895049,7.30591893840607,0.202635846875203,0.543352526877868,0.118219944632496
"FLAVPHEN_PC13","63","UNK",21,69,-0.179544242687661,1.03855636493702,-0.154584229263636,-0.155559475193458,0.943008654571289,-2.75474274053475,2.49287869689726,5.24762143743201,-0.079811614641366,0.357748789530828,0.125027493970599
"FLAVPHEN_PC21","64","NonOil",22,83,-0.120151224613547,0.624099810868768,-0.069572777289074,-0.117185489970346,0.72499487833383,-1.45079730224906,1.28375231161687,2.73454961386593,-0.008606624229213,-0.722101837724781,0.068503853899716
"FLAVPHEN_PC22","65","Oil",22,134,-0.094895094732086,0.631855677946494,-0.145862409454209,-0.109101757777871,0.554628722632209,-1.49035833559154,2.13634936236144,3.62670769795297,0.407690960694267,0.685009272129216,0.054584016970228
"FLAVPHEN_PC23","66","UNK",22,69,0.328818758507595,0.614202670944388,0.348406005370215,0.341607044223714,0.64957870958235,-1.83145070877741,1.52642825901845,3.35787896779586,-0.500732056971392,0.667569543254892,0.073941312509198
"LES_PC11","67","NonOil",23,83,-0.167903740828872,2.6795966548858,0.104954896642137,-0.06811521427724,2.31412830200527,-10.7763699866973,5.29728832081717,16.0736583075144,-0.756958116700739,1.74724873459306,0.29412394389439
"LES_PC12","68","Oil",23,134,0.174606035731552,2.02877748648229,0.310097589689246,0.221116362502941,1.99792721792078,-5.16306141232213,5.47327724830056,10.6363386606227,-0.202380276425412,-0.050295019785405,0.175259681310236
"LES_PC13","69","UNK",23,69,-0.137118815930895,1.9744651675344,-0.02828368286273,-0.159293578338611,1.8589417550787,-4.64733160404056,4.58401562203146,9.23134722607202,0.104444789828535,-0.057590832665302,0.237697673581765
"LES_PC21","70","NonOil",24,83,-0.170370074845166,1.58453613097697,0.053435803414686,-0.098446953842706,1.48319079028364,-5.37720662473023,3.36561442677234,8.74282105150256,-0.647575048453885,0.813612719743835,0.173925435843614
"LES_PC22","71","Oil",24,134,0.136446341580548,1.51437579212769,0.237101732587434,0.162543883934808,1.5736127870349,-4.09495481745738,3.27902671861701,7.37398153607439,-0.171291184182338,-0.384281394238057,0.130822143128387
"LES_PC23","72","UNK",24,69,-0.060044834197735,2.06926156357861,0.044583246210755,0.063360234531714,2.03058227403665,-5.19029825052496,3.61492648928154,8.8052247398065,-0.497148853960642,-0.181395174232446,0.249109818589004
"LES_PC31","73","NonOil",25,83,0.225994213530434,1.17922874171015,0.136744540502296,0.233720780076746,1.29315783777889,-2.74282434078029,2.75806893372793,5.50089327450822,-0.038332505223073,-0.568299330154555,0.129437170192388
"LES_PC32","74","Oil",25,134,-0.021299529325256,1.21470122699975,0.158202686167939,0.048501555560119,1.2049671043595,-4.86954381646241,3.2322473359355,8.10179115239791,-0.675105755629053,1.30145930344505,0.104934203652002
"LES_PC33","75","UNK",25,69,-0.230483808600618,1.13781640760397,-0.176133415749977,-0.197672744666992,1.23039124313847,-3.15490240255438,2.25737421793684,5.41227662049122,-0.310931570845884,-0.261379921204791,0.136976998884389
"LES_PC41","76","NonOil",26,83,-0.336278495932278,1.06353727835509,-0.143463660334829,-0.284528620435964,0.86963317317769,-2.77993799440747,2.05307314949353,4.833011143901,-0.396925393458253,-0.218316154043498,0.116738382330096
"LES_PC42","77","Oil",26,134,-0.079090566901305,0.988035219060583,-0.030196083574811,-0.046708337978383,0.982112152360753,-2.58098109310024,2.31567075079066,4.89665184389089,-0.26987410460224,-0.25360863330159,0.08535324291088
"LES_PC43","78","UNK",26,69,0.558105088799344,1.15827395611459,0.445258319654646,0.568103604516496,1.27394489548227,-2.0697413685838,2.70194504621631,4.77168641480011,-0.043762116314982,-0.827382382313101,0.139439798313884
"LES_PC51","79","NonOil",27,83,0.332747931545081,0.920694688164329,0.307709993528866,0.352430672652471,0.879000440272609,-2.26500769332831,2.67317088671074,4.93817858003905,-0.192667922581112,0.281013653617143,0.101059371122796
"LES_PC52","80","Oil",27,134,-0.328966295893649,1.03324959463977,-0.406578796608405,-0.340233792938997,0.868986372140916,-3.6498673201131,2.62804872912916,6.27791604924225,-0.013213460880392,0.772434775865491,0.089259170055403
"LES_PC53","81","UNK",27,69,0.238600077268224,1.04800211692785,0.356774165627799,0.29681089813326,1.1730773914193,-2.53316603056276,2.13691876201312,4.67008479257589,-0.478303513751159,-0.157347278444612,0.126164628882051
"LES_PC61","82","NonOil",28,83,-0.056618511926066,0.793360997161567,-0.198853669743982,-0.100060674407394,0.723565944288058,-1.61888326058095,3.04008886101994,4.65897212160089,0.869358659819713,1.62650597476765,0.087082682758122
"LES_PC62","83","Oil",28,134,0.014047603365757,0.864977163742053,0.089727493604688,0.053427377074921,0.791514852029342,-3.0700148554434,1.84308871725725,4.91310357270064,-0.586479369704029,0.735912421103994,0.074722646060568
"LES_PC63","84","UNK",28,69,0.040825473026843,1.02969316459117,-0.057220299260967,0.060823181906189,0.962764491533035,-2.74413421826894,2.84566244790669,5.58979666617563,-0.188528746700547,0.413903165382545,0.123960490035894
"LES_PC71","85","NonOil",29,83,-0.066490993852817,0.89341578036428,0.034678987723134,-0.005183800776388,0.872719830621796,-2.24428431385747,1.53112231158655,3.77540662544402,-0.527096065737881,-0.371609222029519,0.098065121994797
"LES_PC72","86","Oil",29,134,0.121026409590708,0.726438058434372,0.13934638256366,0.129393135520207,0.714225950271536,-2.61302416360871,1.8867921650013,4.49981632861,-0.286297924333373,0.47797580440249,0.062754690182208
