"","BF","BFerror","mean","mean.SD","quant.2.5","quant.97.5"
"FreshMass",0.252941659768991,0.000249894091121376,-0.0251485807107569,0.0401046743267748,-0.103966129810161,0.0528367157776699
"DryMass",0.357883937907115,0.000215690903114464,-0.0368002595710842,0.0354952242318347,-0.107221187382372,0.0326009482603718
"WaterContent",0.367691303638884,0.000213197381074697,0.033259100581979,0.0314875563907671,-0.0280854828377351,0.0957511779701022
"LeafArea",0.209992222964813,0.000270075267728628,0.00628661289546198,0.0401018004711248,-0.0722224630001599,0.0856416639747674
"Perimeter",0.503559811522766,0.000185854387956953,-0.0506033204773869,0.0383387560739599,-0.126676383179757,0.0240790065730762
"AspectRatio",0.727432377324509,0.000157392542121326,-0.0436807553048298,0.0279407618186826,-0.0989641775123928,0.0108697072283503
"Circularity",19.7899966363926,1.56791058168906e-09,0.0889007297061655,0.0294786290126898,0.031504622816721,0.146962464193665
"Solidity",103.461904055869,2.00949386318029e-10,0.133490353104663,0.0378889330595968,0.059595443628669,0.208556833053766
"LMA",0.556365695956649,0.000177781962310301,-0.0412184204542302,0.0298918674959557,-0.100544952518455,0.0169465756057362
"LaminaThickness",0.266965930526021,0.000244293076263173,-0.0246697349412136,0.035160964317873,-0.0944853374914952,0.0444092833750101
"LaminaDensity",0.368389485248495,0.000213023357605038,-0.0294029344720401,0.0278608165205606,-0.0845185418519083,0.024808128943615
"LaminaToughness",1.0250569300009,0.000133890161376047,-0.0671584178738912,0.0380867081933734,-0.142470064733361,0.00731410973180132
"ChlorophyllContent._SPAD",0.579005784371706,0.000174628168560376,-0.0613572683211826,0.0433271339574871,-0.147560255268752,0.0227800525272013
"ChlorophyllContent_areabasis",0.523112341931407,0.000182738165227853,-0.0591384515755056,0.0438602142960816,-0.145746990593219,0.0267371040581767
"ChlorophyllContent_massbasis",0.241255654529202,0.000254887226396864,0.0197408747603579,0.0356629257840758,-0.04955759750084,0.0902016009442975
"TrichomeDensity",0.652410001348637,0.00016544555254784,-0.0561484602923269,0.0375353649789605,-0.130490977562703,0.0170770317578973
"AshContent",0.470429868955913,0.00019152355785591,0.0329520039777535,0.0260087404128578,-0.0177257702182985,0.0846482817449146
"TotalPhenolics",1.55576798569157,0.000108856196327262,-0.0782625218110031,0.0392459890542646,-0.155874998726514,-0.00193089182099636
"TotalFlavonoids",1.31195013966234,0.000118634287167438,-0.0734397346372489,0.0388572867703939,-0.150454222033286,0.00198481723261449
