"","BF","BFerror","mean","mean.SD","quant.2.5","quant.97.5"
"FreshMass",0.420960684664529,0.000235591777294279,0.0380561782711534,0.0306875532991094,-0.0216945159610149,0.0987219399639254
"DryMass",0.498211607399796,0.000215592594708597,0.0352228404466152,0.0256946081995868,-0.0149584211626224,0.0861100880174738
"WaterContent",0.197801335942209,0.000345404460037878,0.00853133849064242,0.0384838618677394,-0.0673330440499321,0.0846185022267466
"LeafArea",1.56817545853675,0.000113126980075407,0.0608813936015918,0.0300988438638906,0.00265257517287544,0.120461846397955
"Perimeter",0.769942391729478,0.000170287461782817,0.0592668634527133,0.0358613191482055,-0.0107006152427343,0.129677715938893
"AspectRatio",0.334384056269262,0.000265387891014767,-0.0294456170854192,0.0283081661897939,-0.0853628510387407,0.0260470075504651
"Circularity",0.193544592963534,0.000349123442750518,0.0028571393343344,0.034213993026636,-0.0644538640921389,0.0700630077804304
"Solidity",0.193280868923558,0.000349357625443589,0.00198250140513615,0.0381053724223467,-0.072890066437409,0.0775767827269576
"LMA",0.214388083029871,0.000331929147174173,-0.0134821844450639,0.0299096852156633,-0.0726762244943135,0.045076860430493
"LaminaThickness",0.297360590501117,0.00028174689420867,0.0288080375427688,0.0311810391903159,-0.032393645360939,0.0905830557919851
"LaminaDensity",0.746482410311351,0.000173226515128852,-0.0526984895543339,0.0324770878124345,-0.117315501864751,0.0107890131980415
"LaminaToughness",0.197017523947131,0.000346080774453828,-0.00636943000682076,0.031568780323385,-0.0681920303924146,0.0557847611377272
"ChlorophyllContent._SPAD",2.91393517100364,7.71640741892477e-05,-0.0699527654118788,0.0303597942704742,-0.130128194168332,-0.0111846166828157
"ChlorophyllContent_areabasis",3.62596920447508,6.70041827376024e-05,-0.0709236264200085,0.0294377674629157,-0.129330079055372,-0.0132159442524221
"ChlorophyllContent_massbasis",0.27230644992264,0.000294574298373569,-0.0241966012820306,0.0296329303927608,-0.0826243502508531,0.0336378589694653
"TrichomeDensity",0.243205798275806,0.000311759422562883,-0.023325850020355,0.0346526177673518,-0.0916572141496112,0.0446172588278172
"AshContent",0.201931962630511,0.000341904174242115,-0.0107707652410743,0.0359361630769803,-0.081415700368435,0.0598943528432664
"TotalPhenolics",0.274962504577053,0.000293130932374877,0.0300615574573586,0.0358667089342376,-0.0396556068757608,0.100891692977188
"TotalFlavonoids",0.243870789778122,0.00031133246189477,-0.0236561271896818,0.035179857602097,-0.0929403290081185,0.0451119598115814
