"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"BREED*1","1","HA",1,133,1,0,1,1,0,1,1,0,NA,NA,0
"BREED*2","2","RHA",1,102,2,0,2,2,0,2,2,0,NA,NA,0
"BREED*3","3","UNK",1,51,3,0,3,3,0,3,3,0,NA,NA,0
"PeakAreas_RTX1.21","4","HA",2,133,2.95698740655639,2.16171068804115,2.718138933,2.77263495135514,1.9415290018446,0,9.327048302,9.327048302,0.664010500012646,0.19085144077207,0.187444088882733
"PeakAreas_RTX1.22","5","RHA",2,102,2.71683659859804,2.02923153750843,2.7927743195,2.57915007339024,1.755628714497,0,11.34133101,11.34133101,0.810562152675306,1.77375029098888,0.200923862099475
"PeakAreas_RTX1.23","6","UNK",2,51,3.12562764980392,1.82837964231108,2.885411978,3.09507655085366,1.6240177357656,0,7.964371681,7.964371681,0.098571423216674,-0.098600577912694,0.256024359917046
"PeakAreas_RTX1.291","7","HA",3,133,0.64287333112782,1.68011889179661,0,0.176913398457944,0,0,9.805467606,9.805467606,2.86026286052298,8.45873899327123,0.145684784106265
"PeakAreas_RTX1.292","8","RHA",3,102,0.986094701460784,2.41981570780164,0,0.338167836024391,0,0,12.65419292,12.65419292,2.88217081304014,8.51733257278653,0.239597457753616
"PeakAreas_RTX1.293","9","UNK",3,51,0.645876938215687,1.51140032834794,0,0.262708033,0,0,6.525563717,6.525563717,2.16414061925402,3.73172919015788,0.211638377877901
"PeakAreas_RTX1.411","10","HA",4,133,0.586898336736842,1.33237833653345,0,0.240398284439253,0,0,6.051238537,6.051238537,2.21376156933381,4.01717466242648,0.115531853878612
"PeakAreas_RTX1.412","11","RHA",4,102,0.290026812,1.00047700123241,0,0.015960135109756,0,0,7.197508335,7.197508335,4.38214676688654,22.5598956548462,0.099061984457494
"PeakAreas_RTX1.413","12","UNK",4,51,0.511161216960784,1.19000363918288,0,0.207186430731707,0,0,5.612618923,5.612618923,2.48535114813881,6.04444279568189,0.166633839586864
"PeakAreas_RTX1.491","13","HA",5,133,2.34804602045865,2.53900719397686,2.105932236,2.03275250831776,3.1222551330936,0,14.10738087,14.10738087,1.1874588352312,2.31342952670632,0.220159845059079
"PeakAreas_RTX1.492","14","RHA",5,102,2.42136244852941,2.18640185414539,2.30943048,2.20624975681707,2.8462243174239,0,11.38428783,11.38428783,0.842191378757971,1.27424588241021,0.21648604238417
"PeakAreas_RTX1.493","15","UNK",5,51,2.20211306396078,2.1464996557505,2.335752786,1.99852324265854,3.4629870805236,0,8.206612587,8.206612587,0.545472587145058,-0.589870693276685,0.300570071832041
"PeakAreas_RTX1.581","16","HA",6,133,0.97471223693233,1.96932230730578,0,0.500153701429907,0,0,9.056116104,9.056116104,1.97947871360047,3.17408742232758,0.170761900587109
"PeakAreas_RTX1.582","17","RHA",6,102,1.37552198239216,2.56185092172211,0,0.794507270890244,0,0,12.12324715,12.12324715,1.98512595376565,3.74473505395886,0.253661039561568
"PeakAreas_RTX1.583","18","UNK",6,51,1.11554330939216,2.10071549761095,0,0.642865018146341,0,0,9.063097,9.063097,1.92738881921076,3.18293065758024,0.29415900735136
"PeakAreas_RTX1.681","19","HA",7,133,0.080887025466165,0.566180346320185,0,0,0,0,4.679163218,4.679163218,7.20502402559424,52.0250795857265,0.049094062284285
"PeakAreas_RTX1.682","20","RHA",7,102,0.014575800470588,0.147208368833286,0,0,0,0,1.486731648,1.486731648,9.80440214123959,95.0585351787772,0.014575800470588
"PeakAreas_RTX1.683","21","UNK",7,51,0.153714956019608,1.09774435681064,0,0,0,0,7.839462757,7.839462757,6.72683569778161,44.116493656286,0.153714956019608
"PeakAreas_RTX1.831","22","HA",8,133,3.94200613893233,5.37006212445284,1.92507422,2.8839024951215,2.854115038572,0,26.60442352,26.60442352,1.79781906441766,3.67763149907119,0.465643440507694
"PeakAreas_RTX1.832","23","RHA",8,102,2.87617320061765,3.84454235905221,0,2.19580563541463,0,0,14.51952076,14.51952076,1.17557944210276,0.389647404849456,0.380666417068529
"PeakAreas_RTX1.833","24","UNK",8,51,5.0096545875098,9.86853087908362,0,2.85856881958537,0,0,58.11749649,58.11749649,3.64419088824093,15.3441714877913,1.38187072485962
"PeakAreas_RTX1.881","25","HA",9,133,3.58741998091729,5.56141019453862,0,2.33169620450467,0,0,27.03699112,27.03699112,2.08221754465966,4.41649674178729,0.482235422429751
"PeakAreas_RTX1.882","26","RHA",9,102,3.90699878740196,5.93968036691865,0,2.60078187542683,0,0,26.67538261,26.67538261,1.84869818187547,3.07317552427872,0.588115992137129
"PeakAreas_RTX1.883","27","UNK",9,51,3.38421305954902,5.05430503353295,0,2.34387040134146,0,0,21.19376373,21.19376373,1.85947396929734,3.30772301242863,0.707744267705871
"PeakAreas_RTX1.991","28","HA",10,133,2.90995590581955,6.80046805553003,0,1.11323836030841,0,0,36.05853271,36.05853271,3.11153077066558,9.83234210868834,0.589675364838039
"PeakAreas_RTX1.992","29","RHA",10,102,3.72867130993137,9.95438742138032,0,1.05830328918293,0,0,67.12391663,67.12391663,3.76225162694357,16.7596517655508,0.985631224711764
"PeakAreas_RTX1.993","30","UNK",10,51,4.06164988352941,6.93423317718201,0,2.56910103121951,0,0,41.06225586,41.06225586,3.27344793828238,13.6790622464765,0.970986861601424
"PeakAreas_RTX2.081","31","HA",11,133,0.639747004766917,2.29653220072571,0,0,0,0,18.39168167,18.39168167,4.81024258550486,28.3796366409253,0.199134596658243
"PeakAreas_RTX2.082","32","RHA",11,102,1.44708472028432,5.77822191564346,0,0.199560428548781,0,0,50.35064316,50.35064316,6.58518522329433,49.4735201505973,0.572129223254835
"PeakAreas_RTX2.083","33","UNK",11,51,0.172983244352941,1.23534745888367,0,0,0,0,8.822145462,8.822145462,6.72683569778163,44.1164936562862,0.172983244352941
"PeakAreas_RTX2.21","34","HA",12,133,0.123490518203007,0.709058891204098,0,0,0,0,6.307664394,6.307664394,6.98711250937414,52.1485419052263,0.061483203354279
"PeakAreas_RTX2.22","35","RHA",12,102,0.020438208303922,0.206415785696729,0,0,0,0,2.084697247,2.084697247,9.8044021412395,95.0585351787776,0.020438208303922
"PeakAreas_RTX2.23","36","UNK",12,51,0.05351619627451,0.382182085462263,0,0,0,0,2.72932601,2.72932601,6.72683569778162,44.1164936562861,0.05351619627451
"PeakAreas_RTX2.271","37","HA",13,133,0.692278467609023,2.33394908784317,0,0,0,0,17.50560951,17.50560951,4.10871890965853,20.686193288734,0.202379052243054
"PeakAreas_RTX2.272","38","RHA",13,102,0.467518367,1.72910985553283,0,0,0,0,12.46841812,12.46841812,4.63286094661164,24.3219091392703,0.171207387499259
"PeakAreas_RTX2.273","39","UNK",13,51,0.563455030019608,1.70441010288015,0,0.031789297,0,0,7.592404842,7.592404842,2.87875668525165,7.10912246632852,0.23866515220792
"PeakAreas_RTX2.381","40","HA",14,133,0.403982780030075,1.33665540672297,0,0.041872725299065,0,0,7.284350395,7.284350395,3.83369569733992,14.4967302392782,0.11590272289878
"PeakAreas_RTX2.382","41","RHA",14,102,0.45364254827451,1.57672571881379,0,0.02875447854878,0,0,10.66748905,10.66748905,4.22565344196888,19.6092767309089,0.15611910964316
"PeakAreas_RTX2.383","42","UNK",14,51,0.20930075645098,0.602119703655046,0,0.031714706878049,0,0,2.724191427,2.724191427,2.68490745771212,6.20285860712252,0.084313622922901
"PeakAreas_RTX2.471","43","HA",15,133,0.011623205992481,0.134045350659042,0,0,0,0,1.545886397,1.545886397,11.2737335285797,126.04494318503,0.011623205992481
"PeakAreas_RTX2.472","44","RHA",15,102,0.035887739235294,0.362448399633503,0,0,0,0,3.660549402,3.660549402,9.80440214123966,95.058535178778,0.035887739235294
"PeakAreas_RTX2.473","45","UNK",15,51,0.055886937117647,0.399112561516151,0,0,0,0,2.850233793,2.850233793,6.72683569778161,44.116493656286,0.055886937117647
"PeakAreas_RTX2.61","46","HA",16,133,0.011774006639098,0.135784468555464,0,0,0,0,1.565942883,1.565942883,11.2737335285798,126.044943185031,0.011774006639098
"PeakAreas_RTX2.62","47","RHA",16,102,0.277975915647059,1.86740021377612,0,0,0,0,15.02942276,15.02942276,6.92312335309281,47.6450024941031,0.184900173342454
"PeakAreas_RTX2.63","48","UNK",16,51,0.422865989196079,2.03610216896904,0,0,0,0,13.57448292,13.57448292,5.49265624791052,31.5224943470944,0.285111331625358
"PeakAreas_RTX2.671","49","HA",17,133,0.063307201052632,0.546579013810888,0,0,0,0,5.713400364,5.713400364,9.15405512857587,86.9655942762993,0.047394411200808
"PeakAreas_RTX2.672","50","RHA",17,102,0.116195445,1.17351647059268,0,0,0,0,11.85193539,11.85193539,9.80440214123964,95.0585351787784,0.116195445
"PeakAreas_RTX2.673","51","UNK",17,51,0.023080066137255,0.164824640445241,0,0,0,0,1.177083373,1.177083373,6.7268356977816,44.116493656286,0.023080066137255
"PeakAreas_RTX2.81","52","HA",18,133,0.073841567330827,0.574425894706144,0,0,0,0,6.117254257,6.117254257,9.19985099234131,90.4994211904415,0.049809042005251
"PeakAreas_RTX2.82","53","RHA",18,102,0,0,0,0,0,0,0,0,NA,NA,0
"PeakAreas_RTX2.83","54","UNK",18,51,0.072904713019608,0.520643790132985,0,0,0,0,3.718140364,3.718140364,6.72683569778162,44.116493656286,0.072904713019608
"PeakAreas_RTX2.921","55","HA",19,133,1.12469070204511,2.87474955843034,0,0.378572580981308,0,0,16.33135605,16.33135605,3.3878297801961,12.4271378498641,0.249272400200001
"PeakAreas_RTX2.922","56","RHA",19,102,0.350843664480392,0.99520708565241,0,0.06042160347561,0,0,4.795148373,4.795148373,2.85119005020051,7.38785826004417,0.098540185061171
"PeakAreas_RTX2.923","57","UNK",19,51,0.79870560590196,2.03599198928959,0,0.246342693902439,0,0,9.124512672,9.124512672,2.74188135402522,7.10767249558196,0.285095903384279
"PeakAreas_RTX2.971","58","HA",20,133,2.06919381490977,2.69556592086351,1.221153975,1.55899419517757,1.810482883335,0,11.81353283,11.81353283,1.46429930637422,1.71458853718395,0.233735208349021
"PeakAreas_RTX2.972","59","RHA",20,102,1.97456595482353,2.46474239425374,1.5030921695,1.49248861393902,2.2284844505007,0,10.86920381,10.86920381,1.56332099465149,2.27926642548077,0.244045862574078
"PeakAreas_RTX2.973","60","UNK",20,51,1.43493750743137,2.44643460359816,0,0.912559384268293,0,0,11.75779533,11.75779533,2.11699201610154,4.80992503942581,0.342569365229547
"PeakAreas_RTX3.091","61","HA",21,133,1.00877894806015,2.20361655803149,0,0.437617207785047,0,0,11.02389717,11.02389717,2.250831021226,4.42527140700701,0.191077788647753
"PeakAreas_RTX3.092","62","RHA",21,102,1.45669768082353,4.1704622951082,0,0.485810380865854,0,0,33.21033096,33.21033096,5.06836523188974,32.016214000067,0.412937299457824
"PeakAreas_RTX3.093","63","UNK",21,51,2.11034229466667,3.86298553512062,0,1.32675132229268,0,0,22.76921082,22.76921082,3.2359565297481,13.6152635236143,0.540926170971768
"PeakAreas_RTX3.171","64","HA",22,133,0.65414053963158,3.13564457684472,0,0,0,0,29.9532572,29.9532572,7.06558857045117,57.7156767589012,0.271894867346629
"PeakAreas_RTX3.172","65","RHA",22,102,0.922398488009804,6.7292233000066,0,0,0,0,67.58455637,67.58455637,9.53352434416477,91.4212032492446,0.666292391664293
"PeakAreas_RTX3.173","66","UNK",22,51,0,0,0,0,0,0,0,0,NA,NA,0
"PeakAreas_RTX3.31","67","HA",23,133,66.3499326861278,40.6663239283278,61.222435,61.3082686621495,35.538772152492,9.606116295,262.2828979,252.676781605,1.47519773044892,3.55581791092489,3.52621749021504
"PeakAreas_RTX3.32","68","RHA",23,102,63.9337833707843,42.5108224817526,52.10385132,57.0732156008537,25.962418941942,13.66357517,264.2297668,250.56619163,2.0875189162237,5.65010401295815,4.20919864302249
"PeakAreas_RTX3.33","69","UNK",23,51,65.6949423024902,44.3821957599762,51.73015213,60.2336709543902,36.624711729438,9.028640747,232.1262817,223.097640953,1.31984419230767,2.12607867020896,6.21475048081271
"PeakAreas_RTX3.41","70","HA",24,133,0.231260552864662,1.71806966263167,0,0,0,0,17.95511728,17.95511728,9.01219205539619,85.6400418148634,0.148975533280486
"PeakAreas_RTX3.42","71","RHA",24,102,0.276188232176471,1.70066245179512,0,0,0,0,13.53674412,13.53674412,6.71177194281106,45.3549619278664,0.168390674807763
"PeakAreas_RTX3.43","72","UNK",24,51,0.040269622607843,0.201489120195624,0,0,0,0,1.069601059,1.069601059,4.62223945464624,19.7991279297292,0.028214120215826
