"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"BREED*1","1","HA",1,133,1,0,1,1,0,1,1,0,NA,NA,0
"BREED*2","2","RHA",1,102,2,0,2,2,0,2,2,0,NA,NA,0
"BREED*3","3","UNK",1,51,3,0,3,3,0,3,3,0,NA,NA,0
"PEAKAREAS_PC21","4","HA",2,133,0.169767294666205,3.06843844522464,0.146194273112398,0.216011507108632,2.82629434571978,-7.70224558680884,8.37125143281906,16.0734970196279,-0.104628021529416,-0.078815950111754,0.266067356672537
"PEAKAREAS_PC22","5","RHA",2,102,-0.214149298576535,2.8167080556162,-0.233519394398826,-0.096411025267317,2.5959768167455,-7.2275808121152,5.85922646436264,13.0868072764778,-0.35024609326921,-0.120731208466425,0.278895656055099
"PEAKAREAS_PC23","6","UNK",2,51,-0.014427877172523,2.27566779633505,-0.534686660764294,-0.188582606950616,2.25135737601645,-4.09055317624884,7.19608591043976,11.2866390866886,0.877413767709099,0.973562447669819,0.318657229307188
"PEAKAREAS_PC31","7","HA",3,133,0.402053840292979,2.62832552871305,-0.169057019270339,0.124766472270704,2.29007217999788,-3.44838685297435,12.4167163890276,15.8651032420019,1.44630930824991,3.49722014931332,0.227904726910184
"PEAKAREAS_PC32","8","RHA",3,102,-0.21782695316368,2.11817934432781,-0.461320312972231,-0.32813269531735,2.1994945817952,-6.39824072069271,6.8374087363967,13.2356494570894,0.436824799952441,0.670680671167791,0.209731007337013
"PEAKAREAS_PC33","9","UNK",3,51,-0.612839441887666,1.70495746427596,-0.934474317714823,-0.77527199788991,1.05447119025076,-5.20274458099258,4.70517012254849,9.90791470354107,0.792830502170103,1.5386091562796,0.238741798134052
"PEAKAREAS_PC41","10","HA",4,133,0.075092676031787,2.00144626908282,0.389555369650046,0.301514331297854,1.06266083195311,-11.3980415076069,3.30614520336121,14.7041867109682,-2.60797172924389,10.8002783060153,0.173547401338857
"PEAKAREAS_PC42","11","RHA",4,102,-0.00405734222246,2.00449718624573,0.208549035950514,0.144722287963823,1.30448436061202,-11.5578102328069,5.55882728631968,17.1166375191265,-1.95082430395255,10.074601759491,0.198474796386487
"PEAKAREAS_PC43","12","UNK",4,51,-0.187715235402679,2.25043906068323,0.125272075654702,0.072975949961852,1.41032748108293,-8.79526432195697,4.00577748316836,12.8010418051253,-1.69532918000147,4.34052477684902,0.315124499699343
"PEAKAREAS_PC51","13","HA",5,133,0.111804352822208,2.12902856572464,-0.079078150988766,-0.015429874330668,1.05913730669681,-7.4929936132693,13.5764475201644,21.0694411334337,1.94063212010354,13.9597654399917,0.184610189474148
"PEAKAREAS_PC52","14","RHA",5,102,-0.049780008279093,1.71933331649454,0.042843872145477,0.088919943447239,1.09655779394296,-8.12303698834165,3.63199055707978,11.7550275454214,-1.61724919656209,5.54031756021558,0.1702393658885
"PEAKAREAS_PC53","15","UNK",5,51,-0.192008197664433,1.75863856320687,-0.173697871505613,-0.077517927941455,0.922507210491371,-6.36505988148699,3.22504700923408,9.59010689072107,-1.17187899695418,3.20638735747397,0.246258655506221
"PEAKAREAS_PC61","16","HA",6,133,0.077654039984312,2.15921910656848,-0.086632668790721,0.018026291434541,0.975795984719206,-12.5275773039015,12.0167309493896,24.5443082532912,-0.10819603991147,15.2446945391326,0.187228041369249
"PEAKAREAS_PC62","17","RHA",6,102,-0.096494303881483,1.23179933016467,-0.235085852884885,-0.089605936240926,0.990671836071594,-4.51071189278265,3.14672221474264,7.65743410752529,-0.356694502618297,1.88829263101231,0.121966308020286
"PEAKAREAS_PC63","18","UNK",6,51,-0.009520947490239,1.47836594140166,-0.069167155911377,-0.044105908210005,0.809606307367677,-5.74551091544452,4.80389494414873,10.5494058595933,-0.128646481430065,5.63614858002199,0.207012638465006
"PEAKAREAS_PC71","19","HA",7,133,0.060085392840789,1.76022212549617,0.132135691326703,0.01369731183285,1.0416292540752,-3.54194598134345,13.2515487402434,16.7934947215869,2.97470995014075,21.8885501951418,0.152630615359466
"PEAKAREAS_PC72","20","RHA",7,102,-0.048486116550274,1.52862404702162,0.149109219405488,0.008057748549535,1.13301041902899,-4.90383995772519,6.02034741237715,10.9241873701023,-0.05578628881207,3.16539379570691,0.151356334429352
"PEAKAREAS_PC73","21","UNK",7,51,-0.059721046268564,1.69684521089441,0.033009111945274,0.000318899733695,0.935675416353302,-4.66031624833611,6.27877725501753,10.9390935033536,0.186625138334411,3.4425600315351,0.237605855449375
"PEAKAREAS_PC81","22","HA",8,133,0.106274696175202,1.79716470949026,0.239263516486893,0.222571435040367,1.08802236326749,-11.6043410254452,4.44068639011174,16.045027415557,-2.20661605473614,12.9270725618274,0.155833943647592
"PEAKAREAS_PC82","23","RHA",8,102,-0.194382914016754,1.48133283953402,-0.005863978075564,-0.029788624154148,0.899658441049794,-8.3424019743212,2.99890516432668,11.3413071386479,-2.03996246134977,8.29166632554428,0.146673807139527
"PEAKAREAS_PC83","24","UNK",8,51,0.111618090949158,1.50519626075366,0.228487609488879,0.066293610410742,1.06988941168959,-4.93396636171946,4.83118493879054,9.76515130051001,0.007781727470201,2.55923705057802,0.210769634648678
"PEAKAREAS_PC91","25","HA",9,133,0.001331146387596,1.55717856584346,-0.132640739785393,-0.054605764610096,0.860546657438283,-8.40414182581213,6.73126331356535,15.1354051393775,-0.105848056487721,8.47456171880708,0.135024505877213
"PEAKAREAS_PC92","26","RHA",9,102,0.078225220542966,1.61226818911221,0.262056622107456,0.223708957164801,0.98809668485613,-7.46508682292413,5.94357257310428,13.4086593960284,-1.54508495845782,7.83499848325581,0.159638338606891
"PEAKAREAS_PC93","27","UNK",9,51,-0.159921862057511,0.979483867083622,-0.270409295472533,-0.200188971148744,1.03725429973465,-2.18754897683975,2.05072769913501,4.23827667597476,0.294550770696735,-0.763726350769665,0.137155175170393
"PEAKAREAS_PC101","28","HA",10,133,0.031827078087716,1.49817962081956,0.130561100444291,0.113810851887982,0.840509049111927,-6.12443314204207,6.71738802285699,12.8418211648991,-0.373150025230076,4.80600419353524,0.129908648535051
"PEAKAREAS_PC102","29","RHA",10,102,-0.187145049364708,1.52169853063612,0.004425504127289,-0.129125379568465,0.774861002971669,-9.32686706031899,7.2132789852805,16.5401460455995,-1.07299343162744,15.9862671770717,0.150670606126057
"PEAKAREAS_PC103","30","UNK",10,51,0.291290071559488,1.30813398511595,0.068420888573568,0.19831370744447,0.687185699175219,-2.26474335374328,5.33182290087341,7.59656625461669,1.18050443134353,3.00349038163088,0.183175396659805
"PeakAreas200_PC11","31","HA",11,133,0.046976276904688,3.6524052067565,-0.805421653464412,-0.352319698319634,3.10961557722309,-5.16545107241715,15.0174878225887,20.1829388950058,1.17777953504426,1.70366917816768,0.316703696752036
"PeakAreas200_PC12","32","RHA",11,102,-0.109777859174542,3.46791222306582,-0.571736535157539,-0.525722168327102,2.454542754184,-5.160936708238,12.4983945703503,17.6593312785883,1.4457880643468,2.73378336928485,0.34337447669274
"PeakAreas200_PC13","33","UNK",11,51,0.097048957009407,4.26794030236933,-0.779542804397214,-0.478772719745882,3.65495147218422,-4.59856819491329,14.8604247639445,19.4589929588578,1.28853417136293,1.48364673818752,0.597631180522825
"PeakAreas200_PC21","34","HA",12,133,-0.087672002001784,1.71790980802528,-0.137410077230439,-0.116030028903285,1.70555846929236,-3.75264882657431,5.54400146111148,9.2966502876858,0.236102567271607,-0.129419609085431,0.148961672128199
"PeakAreas200_PC22","35","RHA",12,102,0.057114456190243,1.61960508061042,0.025602873355116,0.059056164536421,1.72853070109124,-3.50299449058629,3.34938914612111,6.8523836367074,0.014330920587524,-0.656322653033599,0.160364799115894
"PeakAreas200_PC23","36","UNK",12,51,0.114405916369265,1.65466855271588,0.212649579108124,0.243840286083452,1.61259097169128,-4.26380837821076,2.64133769592145,6.90514607413222,-0.631456393126886,0.134008971276307,0.23169994200355
"PeakAreas200_PC31","37","HA",13,133,0.074020484437682,1.45448694684084,0.016354948232735,0.079192140269844,0.837979494881528,-9.84018125354072,4.38721534565924,14.2273965992,-1.84733578631777,15.632916301609,0.12612001321484
"PeakAreas200_PC32","38","RHA",13,102,-0.190741738910897,1.10543038843347,-0.200172024201307,-0.221316657492577,1.02858546005714,-2.58817891688901,3.93131811061829,6.5194970275073,0.66497044274844,1.81115644433736,0.109453918303915
"PeakAreas200_PC33","39","UNK",13,51,0.188449665464701,1.70496178191675,0.078638856436484,0.229603527084504,0.698764635427243,-5.07150169709156,4.36483156616053,9.43633326325209,-0.463342573159101,1.798730009278,0.238742402724693
"PeakAreas200_PC41","40","HA",14,133,-0.142081216395361,1.17659843679745,-0.061864133839566,-0.109789008590552,0.9076270322487,-4.47907885458062,2.53050914288461,7.00958799746522,-0.625143976317302,1.91898695859967,0.102024023467356
"PeakAreas200_PC42","41","RHA",14,102,0.056373328277701,1.45280809320978,-0.143283984768932,-0.060200933931845,1.06820240240704,-3.89697529615086,5.02457508569875,8.92155038184961,0.989919233956242,2.90284667009925,0.143849436390829
"PeakAreas200_PC43","42","UNK",14,51,0.257778868554067,1.21139188390026,0.075217835297181,0.165771821534103,0.622210431743526,-1.9926589876124,5.41713471921,7.4097937068224,1.67647275440768,5.56966316794847,0.169628792897871
"PeakAreas200_PC51","43","HA",15,133,-0.07116237467964,1.3141540965414,-0.089275474185905,-0.061260131807996,1.23484856889174,-4.09058065912169,3.32272656454418,7.41330722366587,-0.180199278202209,0.773055647774184,0.113951611860201
"PeakAreas200_PC52","44","RHA",15,102,0.029294340406047,1.03816835867044,-0.013765611508555,0.019928178026485,1.10481305907407,-2.3168572200593,2.40249067427258,4.71934789433188,0.083923976961469,-0.560500106458891,0.102793984953367
"PeakAreas200_PC53","45","UNK",15,51,0.126991629626971,0.970204024192473,0.179210229668672,0.112933796179437,0.871925255308336,-1.95859241694723,3.35847794252923,5.31707035947646,0.355545639187848,1.42426509937615,0.135855737252055
"PeakAreas200_PC61","46","HA",16,133,-0.030071372870302,1.05663858035081,0.108460897281363,-0.022066623520549,0.907203358436977,-2.90518045910863,4.59450014838042,7.49968060748905,0.273524079543521,2.18626334218079,0.0916221847206
"PeakAreas200_PC62","47","RHA",16,102,0.03826546186346,1.20405166816057,0.209397766040381,0.136784719419271,1.04913654834585,-6.69864692528862,2.38129575856748,9.0799426838561,-1.92620879163872,8.23996305234714,0.119218880084616
"PeakAreas200_PC63","48","UNK",16,51,0.001890499640734,1.04709798928282,-0.176079668579929,-0.115645156382387,0.783890532477955,-1.63200512720475,3.08049499303052,4.71250012023527,1.02190788992114,1.02012690575061,0.146623046041851
"PeakAreas200_PC71","49","HA",17,133,-0.089395111802373,0.947309627701713,0.012611401013497,-0.041298894763108,0.693048215219752,-3.97575539532323,2.0315850316021,6.00734042692533,-0.947092886914405,3.01798479913318,0.082142162240634
"PeakAreas200_PC72","50","RHA",17,102,0.045083034173092,1.02733344858843,0.09876261122748,0.060529127870923,0.740824899495667,-5.4226385107337,3.27344176783561,8.6960802785693,-1.09864546805926,7.06700602559548,0.101721168993759
"PeakAreas200_PC73","51","UNK",17,51,0.142962360471768,0.90572518512659,0.172159965450767,0.080673019273719,0.806307602252764,-1.82115946488507,2.4628580092149,4.28401747409997,0.526280894339119,0.250185164262569,0.126826893833535
"PeakAreas200_PC81","52","HA",18,133,-0.044539476723782,0.869811792262378,-0.050759422399441,-0.066313357025855,0.764086217408778,-2.35519497120043,3.43492634447,5.79012131567043,0.471295496749805,1.95913886729537,0.075422247668035
"PeakAreas200_PC82","53","RHA",18,102,0.106181242984205,0.841535144436776,0.175472016165431,0.108746998946769,0.582776189762712,-2.92320756705452,3.2876529519125,6.21086051896702,0.094322949724661,2.9182077343338,0.083324395559259
"PeakAreas200_PC83","54","UNK",18,51,-0.096210517257385,1.18514025253207,-0.113642270378396,-0.072611920021367,0.866395858228094,-4.63606184555694,3.06564441196985,7.7017062575268,-0.626824182230543,3.11959630881381,0.165952829240058
"PeakAreas200_PC91","55","HA",19,133,-0.10555878433527,0.933154936390168,-0.006558456928233,-0.096310987932591,0.738794792372926,-3.75353978979333,3.12450881105143,6.87804860084476,-0.377513894612153,3.10004736146792,0.080914794845456
"PeakAreas200_PC92","56","RHA",19,102,0.168332917253871,0.905541222773675,0.071124273387281,0.125057243425892,0.815403252074909,-3.15954914479534,2.70109285584326,5.8606420006386,0.183060334200334,1.3179164226665,0.089661941679345
"PeakAreas200_PC93","57","UNK",19,51,-0.061385083202034,0.76640411053975,0.048078435024532,0.002913641430654,0.541420249453933,-2.20883419881403,1.4300666872921,3.63890088610613,-0.756635860343435,0.768788898014269,0.107318041230601
