"","X1.14","X1.2","X1.29","X1.41","X1.49","X1.58","X1.68","X1.83","X1.88","X1.99","X2.08","X2.2","X2.27","X2.38","X2.47","X2.6","X2.67","X2.8","X2.92","X2.97","X3.09","X3.17","X3.3","X3.4","X3.52","X3.64","X3.77","X3.94","X4.05","X4.21","X4.31","X4.42","X4.55","X4.6","X4.66","X4.72","X4.83","X4.87","X4.98","X5.06","X5.28","X5.44","X5.53","X5.56","X5.72","X5.77","X5.89","X6","X6.1","X6.18","X6.3","X6.37","X6.5","X6.58","X6.72","X6.76","X6.77","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.02","X8.11","X8.21","X8.3","X8.38","X8.43","X8.51","X8.6","X8.69","X8.74","X8.81","X8.89","X8.94","X8.98","X9.11","X9.19","X9.4","X9.43","X9.45","X9.61","X9.72","X9.8","X9.22","X10.07","X10.18","X10.32","X10.46","X10.85","X10.92","X11.01","X11.11","X11.15","X11.33","X11.38","X11.5","X11.6","X11.64","X11.78","X11.92","X12.25","X12.46","X12.73"
"PPN_002",NA,0.00496660654151746,NA,0.0452566305919382,NA,0.0193948857109066,0.232977688370346,0.00434097695452045,0.00600779539649049,0.0172903036329284,NA,NA,NA,0.0653633872706892,NA,NA,0.266372943272851,NA,NA,0.0114032246034306,0.0169064803217371,0.0382717950765227,0.00515072577021861,NA,0.0100540694057087,NA,0.00607939681954091,NA,0.00467283131675911,0.00504482373356941,NA,0.00573349676009114,0.0037545771858961,0.00507518100467088,NA,0.0130723547496023,NA,0.00520475842048703,0.00632830116175721,NA,0.00532213020894523,NA,0.00464092255243939,0.0089111100175753,0.00704009466136287,0.010650044984731,NA,0.0232545597030352,NA,0.0121711119347013,0.0106089442221883,0.00538400994185895,NA,NA,0.000625604594717402,NA,0.00652687495249042,0.00535273631687252,0.00522466223471186,0.00376936161425299,0.00588046734856959,0.00538479682822044,0.00335200225023739,0.0092021470010428,0.0174432769167938,NA,0.00671598295525599,0.0033774853702139,0.00649170847653554,0.0210578099710119,NA,NA,0.00758651716083302,NA,NA,0.00185987222226,NA,NA,NA,0.00309111588204617,0.00601129539244761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0325928896795742,NA,NA,0.00395139600716336,NA,0.00980062724937657,NA,NA,0.00729762973903627,NA,NA,NA,0.019108769885122,0.008861318589496
"PPN_003",NA,NA,NA,NA,NA,0.0146003399995787,NA,NA,0.00246273001361342,0.00959974824932211,NA,0.05798197431029,NA,0.0188558182527353,NA,NA,NA,NA,NA,0.00195019381311616,0.00604342276213952,0.0201354986625215,0.0047872562525469,NA,0.00605438760841603,NA,0.00929555401408602,NA,0.00651617795155103,0.00414680582263944,NA,0.00477134535214946,0.0042515950941672,0.00648522042660825,NA,0.0134978645283777,0.0114248203656007,0.0058131718241476,0.00218717075432675,0.054525499854854,0.00513789167454858,NA,0.0042954266987943,0.00943720288633385,0.00607815949764783,0.0066042650991073,NA,0.00936790387326306,0.0128338591303688,0.00646607050484343,NA,NA,0.0530454303127755,NA,0.00110300438093371,0.261744344753569,0.0103043016253165,0.0079316531757478,0.00621943820702812,0.00690931634634009,0.00699808443011388,0.0066873812765224,0.00570464657671295,0.00709823130433409,0.0169331096075505,0.00794797646865484,0.00896203491798801,0.00455094206727826,0.00678716551233144,NA,0.00605368412505673,0.00695327078446689,0.0100801532205498,NA,0.00292680089678277,0.00233481750281076,0.00886881101087859,0.0150690011859482,NA,NA,0.00537265712335625,0.0886278820083259,NA,NA,NA,NA,NA,0.00556956427061274,NA,NA,NA,NA,0.0577385823087978,NA,0.0165825607566359,0.00571350054236218,NA,0.0135991825162427,NA,NA,0.00802799753508053,NA,NA,NA,0.0183887940239536,0.00836938390920331
"PPN_004",NA,0.00169750462171176,0.00755564493165076,NA,NA,0.00998148347962674,NA,NA,0.00292556750461839,NA,0.0181113196351512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0122394747582062,0.00295868649955268,NA,0.00289158093108215,NA,0.00259864434075821,NA,0.0033465044063977,0.00314396258871799,NA,0.00284523779739902,0.00252867733700322,0.00439196241935069,NA,NA,0.00892194840974912,0.00407165501012151,0.00343652455952665,NA,NA,0.0608042492229721,0.00139592345723345,0.00808743418027408,NA,0.00618999601333398,NA,0.0147017682924786,NA,0.00681786350684742,NA,NA,0.0251221229868767,0.0385099643238618,0.000377896126150783,0.120490872889791,0.00480099821089991,0.00419781623107727,0.00349429586436707,0.00392214192674034,0.00442248468808095,0.00370847799293708,0.00394171856255983,0.00456978714442365,0.0220682532981708,0.0075968789664625,0.00267902201193843,0.00384077159074315,0.0060086365946184,NA,NA,0.00614922087599906,0.00903147690900685,NA,0.00653603461907307,0.00372981988902499,NA,0.00916735917230149,NA,0.0244003587490695,NA,NA,NA,NA,NA,NA,NA,0.0307402759527573,NA,0.152255572478667,NA,0.154421503874006,0.0299742286453807,0.0144132914491666,0.0253443283566135,0.00818319841492969,NA,0.017683422149627,NA,NA,0.00912762414016022,NA,NA,NA,0.0176357146708472,0.00851628896943458
"PPN_005",NA,0.00264159722211473,0.0110270165128289,NA,NA,0.00830484042935604,NA,NA,0.00404300598524988,NA,0.0144898038069501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181148119854292,0.00365722520080955,NA,0.00430150424265997,0.00857048291484943,0.00187111579784911,0.0493139610646356,0.00266270088647062,0.00456419415309927,NA,0.00398970924808596,0.00261763484888709,0.00514664813854352,NA,NA,0.00353745763574974,0.0043562614049337,0.00385362133136209,NA,0.00348887194417056,NA,0.0023964015086257,0.00482797791725566,0.00418708855353239,0.00576324586296903,NA,0.0149422200393655,NA,NA,0.00491176778526018,NA,0.0230505237041147,0.0295316846406188,0.000423834208573579,0.110664446866502,0.00437545248891587,0.00370919425589491,0.00308718554387413,0.00344365588455522,0.004130448261205,0.00361039133668299,0.00329657418018066,0.0038374030971333,0.0150970898999163,0.0064042941843813,0.00231003119940502,0.00317420979860891,0.00474159774469658,NA,NA,0.00538592144294197,0.00590088064934962,0.0131659376029755,NA,0.00272311474998562,0.0143420701293568,0.00887642210891263,NA,0.00414575093712984,0.00220827403872972,NA,NA,NA,NA,NA,NA,0.00895998391078078,NA,0.0772830162023763,NA,NA,0.0601192160594209,0.0116274731780771,0.0224010252370925,0.00691798933022896,NA,0.0145808710032877,NA,NA,0.00895500738898008,NA,NA,NA,0.0164820654322742,0.00848153757872471
"PPN_006",NA,0.00254607132480777,NA,0.0171134336664307,NA,NA,0.21038899990141,NA,0.00353442106684547,NA,0.0187610893846228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011946882112565,0.00312602225846841,NA,0.00209941740573333,0.00712007726069834,0.00232748219072275,0.0659489411588991,0.00184267369612469,0.00354158450779009,NA,0.00225625117752488,0.00250183543403964,0.00691403194304255,NA,NA,0.00578992210989805,0.00288201287342988,0.00250491467575696,NA,0.00261624417579833,NA,0.00222435558707511,0.00521581591950808,NA,0.00466960783705186,NA,0.00624948498211291,NA,NA,0.00247666361100589,NA,0.012346030385121,0.0148559909842259,NA,NA,0.00422564558930962,0.00261253254973232,0.00244366356861176,0.00300122931937898,0.00331902070029652,0.00316901290116702,0.00265801365590564,0.00366487449387166,0.0138642916132343,NA,0.00317121902195841,0.0027378721600273,0.00347666703137149,NA,NA,0.0043674759506213,0.00325857295518499,0.00480008701578151,0.00159273329152301,0.00143534725939009,NA,0.00365120224636331,NA,0.00303795033768026,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0765635783902471,NA,0.0904672179572837,0.0171637472059903,0.0225243520119411,0.0366087827646162,NA,NA,0.0134176004998389,NA,NA,0.00892900346859246,NA,NA,NA,0.023680894988685,0.0123136260321397
"PPN_007",NA,0.00427512015390367,NA,NA,NA,NA,0.0922778035871827,NA,0.00353749024327925,NA,0.0229836697262974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00118527074630519,NA,NA,0.0126653201581869,0.00112570979492703,NA,0.00112868508519669,0.00136066859118193,NA,0.00413139931386696,0.00131296129752246,0.00297150942120622,NA,NA,0.00556500730071259,0.00243666674965235,0.0033021549134035,NA,0.00285409055774061,NA,NA,0.00856975818701802,NA,0.00519213792542139,NA,0.0121045286722634,NA,NA,0.00409774569195156,NA,NA,0.0589793139125826,NA,NA,0.00176790230206701,0.00128929645387041,0.00155318660916359,0.0014455753728532,0.00276596487523565,0.00253957000268152,0.00153172134386344,0.00262877804652268,0.0099200395442148,0.00338034687705679,NA,0.00228846401829196,0.00239550971802196,NA,NA,0.0033572204335201,0.00473580774892915,NA,NA,0.00161176213336304,0.00834696701761704,0.00509223419598208,NA,0.00255878982158055,NA,NA,NA,NA,NA,NA,NA,0.01091770908439,NA,0.0651900547919281,NA,NA,0.0650635481626587,0.0146142197476675,0.0402456219590324,NA,NA,0.013143589802004,NA,NA,0.00904970854996121,NA,NA,NA,0.0245245222219678,0.0121646544828534
"PPN_008",NA,0.00270525021862435,0.0113113365818623,NA,NA,0.0127577485311457,NA,NA,0.00531482332787453,NA,0.0320020116004706,NA,0.0154007717518075,NA,NA,NA,NA,NA,NA,NA,NA,0.0188550556286478,0.00200743883073601,NA,0.00390876015208918,NA,0.00170036250006865,0.0503130661101066,0.000809238899306876,0.00151151590414174,NA,0.00223354786219237,0.00137179157488822,0.0038630329055438,NA,NA,0.00372277404569147,0.001370924826959,0.00314258911394717,NA,0.00194137281470172,NA,0.00230866816436846,0.0053751500821055,NA,0.00382702350752686,NA,0.0082880924263723,NA,NA,0.00282748314159913,NA,0.0119162561027289,0.0169613341188233,0.000327293049022614,0.0840104809996245,0.00331915256914244,0.00127774955967778,0.00178728698378111,0.00173004622233414,0.00261269456006034,0.00256177041163945,0.00472612378265981,NA,0.0125118149430016,0.00575437873774849,0.00128119550659786,0.0030956283466436,NA,NA,0.00154902775178053,0.00348360853188376,0.00446119994767809,0.00952867922034393,NA,0.0025383035624706,0.0108763595843875,0.00543523609710139,NA,0.00334150271080089,0.00206370148385222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0135677198541624,0.0232483105296997,NA,NA,0.00955632776649193,NA,NA,0.0075545109584232,NA,NA,NA,0.0242918362598287,NA
"PPN_009",NA,0.00414625344110272,0.0181793103552006,NA,NA,0.0174161320379935,NA,NA,0.00343092403333578,NA,0.208481660345652,NA,0.0248983586843685,NA,NA,NA,NA,NA,NA,0.00420652455261218,0.00682932331150099,0.016673529369542,0.0023646065032631,NA,0.00724572371540828,0.0100946748256234,0.00192256862916937,NA,0.000963381583988755,0.00120490003507144,0.141628664680511,0.00294667086250153,0.00209319037053729,0.00568035652547544,NA,NA,0.00802228247204832,0.00329387203472169,0.00620631736022317,NA,0.00388618865447513,NA,NA,0.0105110414524318,NA,0.00780016708227908,NA,0.0151912437010955,NA,NA,0.00319446137329648,NA,0.0148143798679773,0.0393819792952038,NA,NA,0.00413070378786535,0.00163954729243983,0.00243401469774102,0.00241449236537464,0.00548644021568897,0.00555005739948737,0.00373964831065281,0.00658607338697,0.0211838203950488,NA,0.00469308335232238,0.00445737564386622,0.00517573911185457,0.0102704954319082,0.00379027401074389,0.00709390151592155,0.00526935415119478,0.00664435050838416,0.00251966535081294,0.00161344291287275,NA,0.00776505738066533,0.00216057699570422,0.0059856193434739,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0448494273799737,NA,NA,0.048368183253337,0.0209248536753872,0.0343535909139102,NA,NA,0.0119360284361713,NA,NA,0.00837197371551094,NA,NA,NA,0.0227280180405683,0.012017737751221
"PPN_010",NA,0.00353249898149373,NA,0.0244422744775001,NA,0.0191150826495325,NA,NA,0.00390170967741004,NA,0.025407130691608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186899923639752,0.00492420579776459,NA,0.00373415546322298,0.0126510462102959,0.00297983427016671,NA,0.00786616782536978,0.00413670474962866,NA,0.00336118844849251,0.00461858483389869,0.0068445691338795,NA,0.0570248618335969,NA,0.00227927151165218,0.00394920005028557,NA,0.00211053687692783,NA,0.00372209285593192,0.00665505351976984,0.0072717606791765,0.00593928377822792,NA,0.0138685275953554,NA,0.0047231877732578,NA,NA,0.0560986128904944,NA,0.000572038246195031,0.240594223517358,0.00966743274123471,0.00609934192790428,0.00482414911139815,0.00528869411266645,0.00515359135556787,0.00528359528330558,0.00364600481717633,0.00384340943087405,0.0168107452586302,0.00838447621391982,NA,0.00153939730824963,0.00259514298295238,0.00878456299753549,0.00259510661838848,0.00338688559489534,0.00214159335066368,NA,0.0011960045243575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00671668216417163,NA,NA,NA,NA,0.0134243758992212,NA,0.023651443214206,NA,NA,0.00950565588123733,NA,NA,0.00807030768727165,NA,NA,NA,0.0242791928985298,0.0119310884054435
"PPN_011",NA,0.00584537136009333,0.0208971686031361,0.0321849607641761,NA,0.0277087228416131,NA,NA,0.00608897323286153,NA,0.0761525194211698,NA,0.0412327764785181,NA,NA,NA,NA,0.451822377061514,NA,NA,NA,0.0584049159540405,0.00342917659335715,NA,0.00977801433303606,NA,0.00442204302273564,NA,0.00238397215786889,0.00314055070283022,0.120931852986539,0.00416849383684393,0.00339853759230329,0.00824763549328003,NA,0.013396502631947,NA,0.00476920155752029,0.00749753016569614,NA,0.00490286638697318,NA,0.00455734245334577,0.00981813867262472,0.00554838972672572,NA,0.00634516885535333,0.0241863161291796,NA,NA,0.00604156511851992,NA,0.0421999241268111,0.0474178042385094,NA,NA,0.00608043731843091,0.00351825306412227,0.00382383484408701,0.00479436847567825,0.00647977428003991,0.00682377450395775,0.00411634138165234,0.00535429791619587,0.0114308286503286,0.00862113850183256,0.010422867590139,NA,0.00681638135874043,NA,0.00433634981439132,0.007247572851237,0.00650458717655639,0.00435930392186492,0.00198000321947327,0.00168973550799464,NA,0.0133719975635172,NA,0.00634591767334109,0.00454573397603015,NA,NA,NA,NA,NA,NA,0.00751887936095683,NA,0.078790194443179,NA,NA,0.0134663871279096,0.0137006351564846,0.0390401034940314,NA,NA,0.0132774376432647,NA,NA,0.00923112656738855,NA,NA,NA,0.0222377367644267,0.0109227316260063
