"","X1.2","X3.3","X3.52","X3.77","X4.05","X4.21","X4.42","X4.55","X4.6","X4.87","X4.98","X5.28","X5.53","X5.89","X6.37","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.11","X8.21","X8.3","X8.38","X8.51","X8.69","X8.81","X8.89","X11.64","X11.78"
"PPN_002",4.121308327,96.29914856,10.23490047,60.41558075,2384.856201,145.5680084,24.81962585,38.60111237,23.35124207,45.56858063,58.03862762,34.43938828,15.10446978,NA,21.18178558,3319.990234,151.7415619,71.86879158,38.1260128,42.36024475,31.69112015,52.03852844,NA,40.07520294,13.77432442,16.57476139,NA,10.33923817,NA,2.690730572,3.437371492,NA
"PPN_003",NA,89.50363922,6.163280964,92.37697601,3325.638428,119.6557693,20.65458679,43.71099377,29.83892632,50.8953476,20.05915738,33.24718475,13.9800098,NA,NA,4919.541992,180.6331635,131.7369537,45.37208367,52.60720444,53.93392563,40.14079666,38.7818985,53.47770691,18.5600071,17.32912827,13.02927828,13.73767471,4.088075161,3.377847553,3.781393528,NA
"PPN_004",1.408595562,55.31628036,2.943588495,25.82470131,1707.943481,90.71880341,12.31669617,25.99753666,20.20770836,35.64805984,31.51733208,NA,4.543209553,NA,NA,2603.660645,101.4859695,74.78178788,28.67318154,29.17325211,37.26652527,25.84233856,37.0687294,15.98609638,15.66373444,15.34137249,NA,12.30849266,9.129353762,5.396037579,4.29934597,NA
"PPN_005",2.192007065,68.37631989,4.378870487,18.59469795,1358.953125,131.6994781,17.27097702,26.91211605,23.68006706,38.13983917,35.34264374,22.57641411,7.799391987,NA,NA,2300.596924,89.66213226,65.65870096,26.77976323,28.40163994,31.16708183,21.70067596,31.24954987,13.78427696,12.94531012,12.10634327,NA,8.041978836,NA,3.939608335,4.218039036,NA
"PPN_006",2.112739325,58.44482803,2.137177229,23.1299572,940.4387817,102.1921539,9.767043114,25.72157288,31.81191635,25.2325325,22.97327614,16.92965889,7.239446762,NA,NA,1620.401611,70.97211456,57.22314453,21.51887226,24.92947578,25.12988472,20.72501945,NA,18.92310429,11.16580391,8.876696587,NA,4.440926075,2.224686146,2.076558113,4.20579052,NA
"PPN_007",3.547510386,22.16009331,NA,11.1870327,576.0429688,39.26198959,17.88433647,13.49866152,13.67211056,21.33344841,30.28499031,18.46875763,NA,NA,NA,799.675415,45.10970306,27.56216193,17.93313456,19.97787666,14.48148346,14.86585045,16.49429512,NA,9.332992554,6.116263866,NA,6.454166412,NA,2.331782579,4.262645721,NA
"PPN_008",2.244826555,37.5315361,3.979062557,16.89779282,413.0083618,43.61467743,9.668763161,14.10350037,17.77406883,12.00268936,28.82156754,12.56258106,7.513852715,NA,NA,792.5135498,51.90875626,32.98604488,16.9394064,20.15251923,44.6825943,NA,28.07830811,7.645071507,12.62483311,NA,3.333955526,6.079918862,NA,3.672236681,3.55836916,NA
"PPN_009",3.440576315,44.2092247,7.376044273,19.10602379,491.6776123,34.76729965,12.75578785,21.52025986,26.1356945,28.83843231,56.91987991,25.14744186,NA,NA,NA,1016.915588,70.69187927,46.03608418,35.5713377,43.66028976,35.35607529,37.24452209,NA,28.00428009,18.17841721,13.21480179,8.157765391,7.181306839,3.519399405,2.334214211,3.943415165,NA
"PPN_010",2.931280613,92.06407928,3.801317453,29.61287498,4014.62793,119.3643036,14.5501852,47.48404503,31.49231339,19.95542526,36.21922302,13.65723801,12.11402225,NA,NA,3783.066162,140.1093292,100.8372488,33.41331196,41.56412888,34.47073364,21.73464203,40.91178513,NA,6.278090239,6.625971556,5.585419655,2.918657303,1.670546293,NA,3.801322699,NA
"PPN_011",4.850510597,64.1126709,9.95388031,43.94519806,1216.699341,90.6203537,18.04491425,34.94064045,37.94791412,41.75520325,68.76195526,31.72634125,14.83244777,14.40555954,NA,2182.167236,111.0568771,91.41215516,42.01161957,53.68016052,38.91747665,30.27877998,42.06657124,62.19469833,NA,17.40372276,9.333078384,8.864736557,2.765614152,2.4445889,4.348098278,NA
