"","X1.2","X3.3","X3.52","X3.77","X4.05","X4.21","X4.42","X4.55","X4.6","X4.87","X4.98","X5.28","X5.53","X5.89","X6.37","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.11","X8.21","X8.3","X8.38","X8.51","X8.69","X8.81","X8.89","X11.64","X11.78"
"PPN_002",0.00496660654151746,0.00515072577021861,0.0100540694057087,0.00607939681954091,0.00467283131675911,0.00504482373356941,0.00573349676009114,0.0037545771858961,0.00507518100467088,0.00520475842048703,0.00632830116175721,0.00532213020894523,0.00464092255243939,NA,0.00538400994185895,0.00535273631687252,0.00522466223471186,0.00376936161425299,0.00588046734856959,0.00538479682822044,0.00335200225023739,0.0092021470010428,NA,0.00671598295525599,0.0033774853702139,0.00649170847653554,NA,0.00758651716083302,NA,0.00185987222226,0.00729762973903627,NA
"PPN_003",NA,0.0047872562525469,0.00605438760841603,0.00929555401408602,0.00651617795155103,0.00414680582263944,0.00477134535214946,0.0042515950941672,0.00648522042660825,0.0058131718241476,0.00218717075432675,0.00513789167454858,0.0042954266987943,NA,NA,0.0079316531757478,0.00621943820702812,0.00690931634634009,0.00699808443011388,0.0066873812765224,0.00570464657671295,0.00709823130433409,0.00794797646865484,0.00896203491798801,0.00455094206727826,0.00678716551233144,0.00605368412505673,0.0100801532205498,0.00292680089678277,0.00233481750281076,0.00802799753508053,NA
"PPN_004",0.00169750462171176,0.00295868649955268,0.00289158093108215,0.00259864434075821,0.0033465044063977,0.00314396258871799,0.00284523779739902,0.00252867733700322,0.00439196241935069,0.00407165501012151,0.00343652455952665,NA,0.00139592345723345,NA,NA,0.00419781623107727,0.00349429586436707,0.00392214192674034,0.00442248468808095,0.00370847799293708,0.00394171856255983,0.00456978714442365,0.0075968789664625,0.00267902201193843,0.00384077159074315,0.0060086365946184,NA,0.00903147690900685,0.00653603461907307,0.00372981988902499,0.00912762414016022,NA
"PPN_005",0.00264159722211473,0.00365722520080955,0.00430150424265997,0.00187111579784911,0.00266270088647062,0.00456419415309927,0.00398970924808596,0.00261763484888709,0.00514664813854352,0.0043562614049337,0.00385362133136209,0.00348887194417056,0.0023964015086257,NA,NA,0.00370919425589491,0.00308718554387413,0.00344365588455522,0.004130448261205,0.00361039133668299,0.00329657418018066,0.0038374030971333,0.0064042941843813,0.00231003119940502,0.00317420979860891,0.00474159774469658,NA,0.00590088064934962,NA,0.00272311474998562,0.00895500738898008,NA
"PPN_006",0.00254607132480777,0.00312602225846841,0.00209941740573333,0.00232748219072275,0.00184267369612469,0.00354158450779009,0.00225625117752488,0.00250183543403964,0.00691403194304255,0.00288201287342988,0.00250491467575696,0.00261624417579833,0.00222435558707511,NA,NA,0.00261253254973232,0.00244366356861176,0.00300122931937898,0.00331902070029652,0.00316901290116702,0.00265801365590564,0.00366487449387166,NA,0.00317121902195841,0.0027378721600273,0.00347666703137149,NA,0.00325857295518499,0.00159273329152301,0.00143534725939009,0.00892900346859246,NA
"PPN_007",0.00427512015390367,0.00118527074630519,NA,0.00112570979492703,0.00112868508519669,0.00136066859118193,0.00413139931386696,0.00131296129752246,0.00297150942120622,0.00243666674965235,0.0033021549134035,0.00285409055774061,NA,NA,NA,0.00128929645387041,0.00155318660916359,0.0014455753728532,0.00276596487523565,0.00253957000268152,0.00153172134386344,0.00262877804652268,0.00338034687705679,NA,0.00228846401829196,0.00239550971802196,NA,0.00473580774892915,NA,0.00161176213336304,0.00904970854996121,NA
"PPN_008",0.00270525021862435,0.00200743883073601,0.00390876015208918,0.00170036250006865,0.000809238899306876,0.00151151590414174,0.00223354786219237,0.00137179157488822,0.0038630329055438,0.001370924826959,0.00314258911394717,0.00194137281470172,0.00230866816436846,NA,NA,0.00127774955967778,0.00178728698378111,0.00173004622233414,0.00261269456006034,0.00256177041163945,0.00472612378265981,NA,0.00575437873774849,0.00128119550659786,0.0030956283466436,NA,0.00154902775178053,0.00446119994767809,NA,0.0025383035624706,0.0075545109584232,NA
"PPN_009",0.00414625344110272,0.0023646065032631,0.00724572371540828,0.00192256862916937,0.000963381583988755,0.00120490003507144,0.00294667086250153,0.00209319037053729,0.00568035652547544,0.00329387203472169,0.00620631736022317,0.00388618865447513,NA,NA,NA,0.00163954729243983,0.00243401469774102,0.00241449236537464,0.00548644021568897,0.00555005739948737,0.00373964831065281,0.00658607338697,NA,0.00469308335232238,0.00445737564386622,0.00517573911185457,0.00379027401074389,0.00526935415119478,0.00251966535081294,0.00161344291287275,0.00837197371551094,NA
"PPN_010",0.00353249898149373,0.00492420579776459,0.00373415546322298,0.00297983427016671,0.00786616782536978,0.00413670474962866,0.00336118844849251,0.00461858483389869,0.0068445691338795,0.00227927151165218,0.00394920005028557,0.00211053687692783,0.00372209285593192,NA,NA,0.00609934192790428,0.00482414911139815,0.00528869411266645,0.00515359135556787,0.00528359528330558,0.00364600481717633,0.00384340943087405,0.00838447621391982,NA,0.00153939730824963,0.00259514298295238,0.00259510661838848,0.00214159335066368,0.0011960045243575,NA,0.00807030768727165,NA
"PPN_011",0.00584537136009333,0.00342917659335715,0.00977801433303606,0.00442204302273564,0.00238397215786889,0.00314055070283022,0.00416849383684393,0.00339853759230329,0.00824763549328003,0.00476920155752029,0.00749753016569614,0.00490286638697318,0.00455734245334577,0.00634516885535333,NA,0.00351825306412227,0.00382383484408701,0.00479436847567825,0.00647977428003991,0.00682377450395775,0.00411634138165234,0.00535429791619587,0.00862113850183256,0.010422867590139,NA,0.00681638135874043,0.00433634981439132,0.00650458717655639,0.00198000321947327,0.00168973550799464,0.00923112656738855,NA
