PPN,GROUP,CORE12,BREED
PPN_018,HA-NonOil,NON-CORE,HA
PPN_019,HA-NonOil,NON-CORE,HA
PPN_020,HA-NonOil,CORE,HA
PPN_021,HA-NonOil,NON-CORE,HA
PPN_022,HA-NonOil,CORE,HA
PPN_023,HA-NonOil,NON-CORE,HA
PPN_024,HA-NonOil,NON-CORE,HA
PPN_025,HA-NonOil,NON-CORE,HA
PPN_026,HA-NonOil,NON-CORE,HA
PPN_027,HA-NonOil,CORE,HA
PPN_028,HA-NonOil,NON-CORE,HA
PPN_029,HA-NonOil,NON-CORE,HA
PPN_030,HA-NonOil,NON-CORE,HA
PPN_031,HA-NonOil,NON-CORE,HA
PPN_032,HA-NonOil,NON-CORE,HA
PPN_033,HA-NonOil,NON-CORE,HA
PPN_034,HA-NonOil,NON-CORE,HA
PPN_035,HA-NonOil,NON-CORE,HA
PPN_036,HA-NonOil,NON-CORE,HA
PPN_037,HA-NonOil,NON-CORE,HA
PPN_038,HA-NonOil,NON-CORE,HA
PPN_039,HA-NonOil,NON-CORE,HA
PPN_040,HA-NonOil,NON-CORE,HA
PPN_041,HA-NonOil,NON-CORE,HA
PPN_042,HA-NonOil,NON-CORE,HA
PPN_043,HA-NonOil,NON-CORE,HA
PPN_044,HA-NonOil,NON-CORE,HA
PPN_045,HA-NonOil,NON-CORE,HA
PPN_046,HA-NonOil,NON-CORE,HA
PPN_047,HA-NonOil,NON-CORE,HA
PPN_048,HA-NonOil,NON-CORE,HA
PPN_049,HA-NonOil,NON-CORE,HA
PPN_050,HA-NonOil,NON-CORE,HA
PPN_051,HA-NonOil,NON-CORE,HA
PPN_052,HA-NonOil,NON-CORE,HA
PPN_053,HA-NonOil,NON-CORE,HA
PPN_054,HA-NonOil,NON-CORE,HA
PPN_055,HA-NonOil,NON-CORE,HA
PPN_056,HA-NonOil,NON-CORE,HA
PPN_057,HA-NonOil,NON-CORE,HA
PPN_058,HA-NonOil,NON-CORE,HA
PPN_059,HA-NonOil,NON-CORE,HA
PPN_060,HA-NonOil,NON-CORE,HA
PPN_061,HA-NonOil,NON-CORE,HA
PPN_062,HA-NonOil,NON-CORE,HA
PPN_063,HA-NonOil,NON-CORE,HA
PPN_064,HA-NonOil,NON-CORE,HA
PPN_065,HA-NonOil,NON-CORE,HA
PPN_066,HA-Oil,NON-CORE,HA
PPN_067,HA-Oil,NON-CORE,HA
PPN_068,HA-Oil,NON-CORE,HA
PPN_069,HA-Oil,NON-CORE,HA
PPN_070,HA-Oil,NON-CORE,HA
PPN_071,HA-Oil,NON-CORE,HA
PPN_072,HA-Oil,NON-CORE,HA
PPN_073,HA-Oil,NON-CORE,HA
PPN_074,HA-Oil,NON-CORE,HA
PPN_075,HA-Oil,NON-CORE,HA
PPN_076,HA-Oil,NON-CORE,HA
PPN_077,HA-Oil,NON-CORE,HA
PPN_078,HA-Oil,NON-CORE,HA
PPN_079,HA-Oil,NON-CORE,HA
